,Academic Year,Course Code,Moodle Link,Course Title,Course Link,Term,Staff
0,2022,COMP1117A,https://moodle.hku.hk/course/search.php?q=COMP1117_1A_2022&areaids=core_course-course,"Computer Programming (ActSc, AppAI, DA, IS, Minor & 2nd Major)",/index.php/programmes/course-offered?infile=2022/comp1117.html,1,"Chim T W

Ting HF

"
1,2022,COMP1117B,https://moodle.hku.hk/course/search.php?q=COMP1117_2B_2022&areaids=core_course-course,"Computer Programming (Quant Fin, DA, Minor, 2nd Major)",/index.php/programmes/course-offered?infile=2022/comp1117.html,2,"Choi Loretta

Ting HF

"
2,2022,ENGG1330A,https://moodle.hku.hk/course/search.php?q=_ENGG1330_1A_2021&areaids=core_course-course,Computer Programming I (A1 - M2),/index.php/programmes/course-offered?infile=2022/engg1330.html,1,"Schnieders Dirk

Chui CK

"
3,2022,ENGG1340A,https://moodle.hku.hk/course/search.php?q=_COMP2113_ENGG1340_1A_2021&areaids=core_course-course,Computer Programming II,/index.php/programmes/course-offered?infile=2022/engg1340.html,1,"Chim T W

"
4,2022,ENGG1340B,https://moodle.hku.hk/course/search.php?q=_COMP2113_ENGG1340_2BC_2021&areaids=core_course-course,Computer Programming II,/index.php/programmes/course-offered?infile=2022/engg1340.html,2,"Qian Chenxiong

Chim T W

"
5,2022,ENGG1340C,https://moodle.hku.hk/course/search.php?q=_COMP2113_ENGG1340_2BC_2021&areaids=core_course-course,Computer Programming II,/index.php/programmes/course-offered?infile=2022/engg1340.html,2,"Qian Chenxiong

Chim T W

"
6,2022,FITE1010,https://moodle.hku.hk/course/search.php?q=FITE1010_1A_2022&areaids=core_course-course,Introduction to Financial Technologies,/index.php/programmes/course-offered?infile=2022/fite1010.html,1,"Yuen John

"
7,2022,FITE2000A,https://moodle.hku.hk/course/search.php?q=FITE2000_2A_2022&areaids=core_course-course,Foundations of FinTech Programming,/index.php/programmes/course-offered?infile=2022/fite2000.html,2,"Chow K P

"
8,2022,STAT1005,https://moodle.hku.hk/course/search.php?q=STAT1005_1A_2022&areaids=core_course-course,Essential skills for undergraduates: Foundations of Data Science,/index.php/programmes/course-offered?infile=2022/stat1005.html,1,"Yu Tao

"
9,2022,COMP2113A,https://moodle.hku.hk/course/search.php?q=_COMP2113_ENGG1340_1A_2021&areaids=core_course-course,Programming Technologies,/index.php/programmes/course-offered?infile=2022/comp2113.html,1,"Chim T W

"
10,2022,COMP2113B,https://moodle.hku.hk/course/search.php?q=_COMP2113_ENGG1340_2BC_2021&areaids=core_course-course,Programming Technologies,/index.php/programmes/course-offered?infile=2022/comp2113.html,2,"Qian Chenxiong

Chim T W

"
11,2022,COMP2113C,https://moodle.hku.hk/course/search.php?q=_COMP2113_ENGG1340_2BC_2021&areaids=core_course-course,Programming Technologies,/index.php/programmes/course-offered?infile=2022/comp2113.html,2,"Qian Chenxiong

Chim T W

"
12,2022,COMP2119A,https://moodle.hku.hk/course/search.php?q=COMP2119_1A_2022&areaids=core_course-course,Introduction to Data Structures and Algorithms (CS),/index.php/programmes/course-offered?infile=2022/comp2119.html,1,"Chan Hubert

"
13,2022,COMP2119B,https://moodle.hku.hk/course/search.php?q=COMP2119_1B_2022&areaids=core_course-course,"Introduction to Data Structures and Algorithms  (CE, IS, DA, Minor, 2nd Major)",/index.php/programmes/course-offered?infile=2022/comp2119.html,1,"Kao Benjamin

"
14,2022,COMP2119C,https://moodle.hku.hk/course/search.php?q=COMP2119_2C_2022&areaids=core_course-course,"Introduction to Data Structures and Algorithms (CS, CE, IS, DA, Minor, 2nd Major)",/index.php/programmes/course-offered?infile=2022/comp2119.html,2,"Yiu S M

Kao Benjamin

"
15,2022,COMP2120A,https://moodle.hku.hk/course/search.php?q=COMP2120_2A_2022&areaids=core_course-course,Computer Organization (CS),/index.php/programmes/course-offered?infile=2022/comp2120.html,2,"Zhao Qi

"
16,2022,COMP2120B,https://moodle.hku.hk/course/search.php?q=COMP2120_2B_2022&areaids=core_course-course,"Computer Organization (IS, 2nd Major)",/index.php/programmes/course-offered?infile=2022/comp2120.html,2,"Chan K P

"
17,2022,COMP2121A,https://moodle.hku.hk/course/search.php?q=COMP2121_1A_2022&areaids=core_course-course,Discrete Mathematics (CS),/index.php/programmes/course-offered?infile=2022/comp2121.html,1,"Chan Hubert

"
18,2022,COMP2121B,https://moodle.hku.hk/course/search.php?q=COMP2121_1B_2022&areaids=core_course-course,"Discrete Mathematics (CS, CE, IS)",/index.php/programmes/course-offered?infile=2022/comp2121.html,1,"Ramanathan Ravishankar

"
19,2022,COMP2121C,https://moodle.hku.hk/course/search.php?q=COMP2121_2C_2022&areaids=core_course-course,"Discrete Mathematics (CS, CE, IS, 2nd Major)",/index.php/programmes/course-offered?infile=2022/comp2121.html,2,"Yang Yuxiang

"
20,2022,COMP2396A,https://moodle.hku.hk/course/search.php?q=COMP2396_1A_2022&areaids=core_course-course,Object-oriented Programming and Java (CS),/index.php/programmes/course-offered?infile=2022/comp2396.html,1,"Wong Kenneth

"
21,2022,COMP2396B,https://moodle.hku.hk/course/search.php?q=COMP2396_2B_2022&areaids=core_course-course,Object-oriented Programming and Java,/index.php/programmes/course-offered?infile=2022/comp2396.html,2,"Chim T W

"
22,2022,FITE2010,https://moodle.hku.hk/course/search.php?q=FITE2010_2A_2022&areaids=core_course-course,Distributed Ledger and Blockchain,/index.php/programmes/course-offered?infile=2022/fite2010.html,2,"Yuen John

"
23,2022,COMP3230A,https://moodle.hku.hk/course/search.php?q=COMP3230_1A_2022&areaids=core_course-course,Principles of Operating Systems (CS),/index.php/programmes/course-offered?infile=2022/comp3230.html,1,"Wu Chenshu

"
