,Course Code,Offering Department,Course Co-ordinator,Teachers Involved,Course Objectives,Course Contents & Topics,Course Learning Outcomes,Pre-requisites (and Co-requisites and Impermissible combinations),Course Status with Related Major/Minor /Professional Core,Course to PLO Mapping,Offer in 2022 - 2023,Offer in 2023 - 2024,Course Grade,Grade Descriptors,A,B,C,D,Fail,Course Type,Group work No. of Hours,Lectures No. of Hours,Assessment No. of Hours,Reading / Self study No. of Hours,Assignments Weighting in final course grade (%),Examination Weighting in final course grade (%),Project reports Weighting in final course grade (%),Required/recommended readingand online materials,Course Website,Additional Course Information,Tutorials No. of Hours,Laboratory No. of Hours,Test Weighting in final course grade (%),Dissertation Weighting in final course grade (%),Oral presentation Weighting in final course grade (%),Research report Weighting in final course grade (%),Distinction,Pass,Internship work No. of Hours,Supervisor's feedback Weighting in final course grade (%),Written report Weighting in final course grade (%),Presentation Weighting in final course grade (%),Laboratory reports Weighting in final course grade (%),Field work No. of Hours,Project work No. of Hours,Project report Weighting in final course grade (%),Essay Weighting in final course grade (%),Report Weighting in final course grade (%),Laboratory work No. of Hours,Presentation No. of Hours,Meeting with supervisor No. of Hours,Discussion No. of Hours
0,BIOC1600,Biomedical Sciences,"Prof J Tanner, Biomedical Sciences  < jatanner@hku.hk >","(Dr B C W Wong,Biomedical Sciences) (Dr B H B Yuen,Biomedical Sciences) (Dr. J W Y Ho,Biomedical Sciences) (Dr. M S Y Huen,Biomedical Sciences) (Dr. Y S Chan,Department of Paediatrics and Adolescent Medicine) (Prof J Tanner,Biomedical Sciences)","- Teach students a biochemical perspective on each of the Basic Sciences focusing on concepts fundamental to the learning of Biochemistry. - Promote deep learning of course material through an integrated programme of practical and collaborative tasks.- Inspire students with a view of the great discoveries and future challenges for Biochemistry.- Help students make the transition from school to university by developing their teamwork, independent study skills and confidence to communicate within a Biochemistry learning environment.","A Biochemical Perspective on the Basic SciencesA. Chemistry for BiochemistryThe elements and bonding (from carbon to Coenzyme A); Resonance and orbital theory (a focus on the electron); Structure and conformation (thinking in 3 dimensions); Isomerism (from mirrors to thalidomide); Water (the universal biochemical solvent) & buffer; Quantitation in chemistry (who was Avogadro anyway?).B. Biology for BiochemistryThe basic building blocks of life (proteins, DNA, lipids, carbohydrate); The Central Dogma of Molecular Biology; Evolution (considering molecular evolution); Origins of life (the chicken-egg paradox of proteins and DNA)C. Physics and Mathematics for BiochemistryThermodynamics from a Biological Perspective; Introduction to molecular recognition and binding (DNA melting); Statistics for biochemistry (applied statistics for what you really need to know); Thinking numbers (exponentials, logs and the limits of life).D. Inspiring BiochemistryThe protein; The gene; Vitamins and disease;  Synthetic biology; The challenges of modern-day genetics Drugs-successes and failures.","describe the basics of biomolecular structure from a chemical perspective, using texts and diagrams, thereby integrating the basic sciences of biology, chemistry and physics into a biochemical perspective; apply knowledge of biomolecular structure to review major discoveries and contemporary issues in molecular biology; interpret scientific data and discuss major issues in biochemistry, using the scientific literature; demonstrate communication skills and the ability to collaborate with colleagues in practicals and in presentation of scientific ideas via written and oral proficiencies; relate how biochemistry intersects with the three basic sciences of biology, chemistry and physics, and recognize the transition from school to university level study","Level 3 or above in HKDSE Biology, Chemistry, or Combined Science with Biology or Chemistry component, or equivalent; Not for students who have passed in BIOL1110, or have already enrolled in this course",2022 Major in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2022 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2021 Major in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2021 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2020 Major in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2020 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2019 Major in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2019 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2018 Major in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2018 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ),"2022 Major in Biochemistry < PLO 1,2,3,4,5 >
                              
                             
                                                     
                             
                                                     
                                                          2021 Major in Biochemistry < PLO 1,2,3,4,5 >
                              
                             
                                                     
                             
                                                     
                                                          2020 Major in Biochemistry < PLO 1,2,3,4,5 >
                              
                             
                                                     
                             
                                                     
                                                          2019 Major in Biochemistry < PLO 1,2,3,4,5 >
                              
                             
                                                     
                             
                                                     
                                                          2018 Major in Biochemistry < PLO 1,2,3,4,5 >","Y       
                  1st sem",Y,A+ to F,A    Exceptionally good performance demonstrating comprehensive understanding of the subject matter; critical insight into use of scientific data and the scientific literature; superior presentation and group collaboration skills.  B    Good performance demonstrating full understanding of the subject matter; coherent insight into use of scientific data and the scientific literature; good presentation and group collaboration skills.  C    Satisfactory performance demonstrating adequate understanding of the subject matter; some insight into use of scientific data and the scientific literature; some presentation and group collaboration skills.  D    Limited performance demonstrating some understanding of basic subject matter; some ability to use scientific data and the scientific literature; limited presentation and group collaboration skills.  Fail Poor understanding of subject matter; with little to no insight into use of scientific data; no understanding of the scientific literature and unable to present or collaborate.,Exceptionally good performance demonstrating comprehensive understanding of the subject matter; critical insight into use of scientific data and the scientific literature; superior presentation and group collaboration skills.,Good performance demonstrating full understanding of the subject matter; coherent insight into use of scientific data and the scientific literature; good presentation and group collaboration skills.,Satisfactory performance demonstrating adequate understanding of the subject matter; some insight into use of scientific data and the scientific literature; some presentation and group collaboration skills.,Limited performance demonstrating some understanding of basic subject matter; some ability to use scientific data and the scientific literature; limited presentation and group collaboration skills.,Poor understanding of subject matter; with little to no insight into use of scientific data; no understanding of the scientific literature and unable to present or collaborate.,Lecture-based course,12,36,30,50,20,50,30,TBC,NIL,,,,,,,,,,,,,,,,,,,,,,,
1,BIOC2600,Biomedical Sciences,"Dr M Kotaka, Biomedical Sciences  < masayo@hku.hk >","(Dr A S L Wong,Biomedical Sciences) (Dr C M Qian,Biomedical Sciences) (Dr C W Lee,Biomedical Sciences) (Dr M Kotaka,Biomedical Sciences)",This course is designed to present an overview of biochemistry of fundamental importance to the life process. We aim to develop appreciation of the basics in biochemistry as a common ground for science and non-science students to progress into their areas of specialization. Students intending to pursue further studies in Biochemistry and Molecular Biology will find this course particularly helpful.,"Structure and functions of carbohydrates, lipids, nucleic acids, amino acids and proteins; enzymes and co-enzymes; basic bioenergetics; key metabolic processes in a living cell; signaling across cell membranes; flow of genetic information","relate the structures to functions of major biomolecules including carbohydrates, amino acids and lipids; explain the fundamentals and significance of bioenergetics, metabolism and intracellular signaling; explain the fundamentals and importance of the flow of genetic information; explain the molecular mechanisms of disorders related to metabolism of carbohydrates, amino acids and/or lipids; demonstrate skills in working and collaborating together with colleagues in group assignments","Pass in BIOC1600 or BIOL1110 or ENGG1207 or BMED1207; and; Not for students who have passed in BIOL2220 or MEDE2301 or BMED2301, or have already enrolled in these courses.",2022 Major in Biochemistry                              (                                                            Core/Compulsory                                                        ); 2022 Major in Biological Sciences                              (                                                            Core/Compulsory                                                        ); 2022 Major in Biological Sciences (Intensive)                              (                                                            Core/Compulsory                                                        ); 2022 Major in Food & Nutritional Science                              (                                                            Core/Compulsory                                                        ); 2022 Major in Molecular Biology & Biotechnology                              (                                                            Core/Compulsory                                                        ); 2022 Major in Molecular Biology & Biotechnology (Intensive)                              (                                                            Core/Compulsory                                                        ); 2022 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2022 Minor in Food & Nutritional Science                              (                                                            Disciplinary Elective                                                        ); 2022 Minor in Molecular Biology & Biotechnology                              (                                                            Disciplinary Elective                                                        ); 2021 Major in Biochemistry                              (                                                            Core/Compulsory                                                        ); 2021 Major in Biological Sciences                              (                                                            Core/Compulsory                                                        ); 2021 Major in Biological Sciences (Intensive)                              (                                                            Core/Compulsory                                                        ); 2021 Major in Food & Nutritional Science                              (                                                            Core/Compulsory                                                        ); 2021 Major in Molecular Biology & Biotechnology                              (                                                            Core/Compulsory                                                        ); 2021 Major in Molecular Biology & Biotechnology (Intensive)                              (                                                            Core/Compulsory                                                        ); 2021 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2021 Minor in Food & Nutritional Science                              (                                                            Disciplinary Elective                                                        ); 2021 Minor in Molecular Biology & Biotechnology                              (                                                            Disciplinary Elective                                                        ); 2020 Major in Biochemistry                              (                                                            Core/Compulsory                                                        ); 2020 Major in Biological Sciences                              (                                                            Core/Compulsory                                                        ); 2020 Major in Biological Sciences (Intensive)                              (                                                            Core/Compulsory                                                        ); 2020 Major in Food & Nutritional Science                              (                                                            Core/Compulsory                                                        ); 2020 Major in Molecular Biology & Biotechnology                              (                                                            Core/Compulsory                                                        ); 2020 Major in Molecular Biology & Biotechnology (Intensive)                              (                                                            Core/Compulsory                                                        ); 2020 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2020 Minor in Food & Nutritional Science                              (                                                            Disciplinary Elective                                                        ); 2020 Minor in Molecular Biology & Biotechnology                              (                                                            Disciplinary Elective                                                        ); 2019 Major in Biochemistry                              (                                                            Core/Compulsory                                                        ); 2019 Major in Biological Sciences                              (                                                            Core/Compulsory                                                        ); 2019 Major in Biological Sciences (Intensive)                              (                                                            Core/Compulsory                                                        ); 2019 Major in Food & Nutritional Science                              (                                                            Core/Compulsory                                                        ); 2019 Major in Molecular Biology & Biotechnology                              (                                                            Core/Compulsory                                                        ); 2019 Major in Molecular Biology & Biotechnology (Intensive)                              (                                                            Core/Compulsory                                                        ); 2019 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2019 Minor in Food & Nutritional Science                              (                                                            Disciplinary Elective                                                        ); 2019 Minor in Molecular Biology & Biotechnology                              (                                                            Disciplinary Elective                                                        ); 2018 Major in Biochemistry                              (                                                            Core/Compulsory                                                        ); 2018 Major in Biological Sciences                              (                                                            Core/Compulsory                                                        ); 2018 Major in Biological Sciences (Intensive)                              (                                                            Core/Compulsory                                                        ); 2018 Major in Food & Nutritional Science                              (                                                            Core/Compulsory                                                        ); 2018 Major in Molecular Biology & Biotechnology                              (                                                            Core/Compulsory                                                        ); 2018 Major in Molecular Biology & Biotechnology (Intensive)                              (                                                            Core/Compulsory                                                        ); 2018 Minor in Biochemistry                              (                                                            Disciplinary Elective                                                        ); 2018 Minor in Food & Nutritional Science                              (                                                            Disciplinary Elective                                                        ); 2018 Minor in Molecular Biology & Biotechnology                              (                                                            Disciplinary Elective                                                        ),"2022 Major in Biochemistry < PLO 1,3,4,5 >
                              
                             
                                                     
                                                          2022 Major in Biological Sciences < PLO 1 >
                              
                             
                                                     
                                                          2022 Major in Biological Sciences (Intensive) < PLO 1,2 >
                              
                             
                                                     
                                                          2022 Major in Food & Nutritional Science < PLO 1,2,3,4 >
                              
                             
                                                     
                                                          2022 Major in Molecular Biology & Biotechnology < PLO 1,2 >
                              
                             
                                                     
                                                          2022 Major in Molecular Biology & Biotechnology (Intensive) < PLO 1,2 >
                              
                             
                                                     
                             
                                                     
                             
                                                     
                             
                                                     
                                                          2021 Major in Biochemistry < PLO 1,3,4,5 >
                              
                             
                                                     
                                                          2021 Major in Biological Sciences < PLO 1 >
                              
                             
                                                     
                                                          2021 Major in Biological Sciences (Intensive) < PLO 1,2 >
                              
                             
                                                     
                                                          2021 Major in Food & Nutritional Science < PLO 1,2,3,4 >
                              
                             
                                                     
                                                          2021 Major in Molecular Biology & Biotechnology < PLO 1,2 >
                              
                             
                                                     
                                                          2021 Major in Molecular Biology & Biotechnology (Intensive) < PLO 1,2 >
                              
                             
                                                     
                             
                                                     
                             
                                                     
                             
                                                     
                                                          2020 Major in Biochemistry < PLO 1,3,4,5 >
                              
                             
                                                     
                                                          2020 Major in Biological Sciences < PLO 1 >
                              
                             
                                                     
                                                          2020 Major in Biological Sciences (Intensive) < PLO 1,2 >
                              
                             
                                                     
                                                          2020 Major in Food & Nutritional Science < PLO 1,2,3,4 >
                              
                             
                                                     
                                                          2020 Major in Molecular Biology & Biotechnology < PLO 1,2 >
                              
                             
                                                     
                                                          2020 Major in Molecular Biology & Biotechnology (Intensive) < PLO 1,2 >
                              
                             
                                                     
                             
                                                     
                             
                                                     
                             
                                                     
                                                          2019 Major in Biochemistry < PLO 1,2,3,4,5 >
                              
                             
                                                     
                                                          2019 Major in Biological Sciences < PLO 1,2,3,4 >
                              
                             
                                                     
                                                          2019 Major in Biological Sciences (Intensive) < PLO 1,2 >
                              
                             
                                                     
                                                          2019 Major in Food & Nutritional Science < PLO 1,2,3,4 >
                              
                             
                                                     
                                                          2019 Major in Molecular Biology & Biotechnology < PLO 1,2 >
                              
                             
                                                     
                                                          2019 Major in Molecular Biology & Biotechnology (Intensive) < PLO 1,2 >
                              
                             
                                                     
                             
                                                     
                             
                                                     
                             
                                                     
                                                          2018 Major in Biochemistry < PLO 1,2,3,4,5 >
                              
                             
                                                     
                                                          2018 Major in Biological Sciences < PLO 1,2,3,4 >
                              
                             
                                                     
                                                          2018 Major in Biological Sciences (Intensive) < PLO 1,2 >
                              
                             
                                                     
                                                          2018 Major in Food & Nutritional Science < PLO 1 >
                              
                             
                                                     
                                                          2018 Major in Molecular Biology & Biotechnology < PLO 1,2 >
                              
                             
                                                     
                                                          2018 Major in Molecular Biology & Biotechnology (Intensive) < PLO 1,2 >","Y       
                  1st sem",Y,A+ to F,A    Demonstrates thorough and complete mastery of the entire range of knowledge and analytical skills as required for maximal attainment in all the course learning outcomes; excellence in critical thinking towards application of the knowledge in a range of contexts.  B    Demonstrates substantial command of a broad range of knowledge and analytical skills as required for attainment of the majority of course learning outcomes; good evidence of critical thinking towards application of the knowledge in a range of contexts.  C    Demonstrates general but incomplete command of knowledge and analytical skills as required for attainment of adequate course learning outcomes; some evidence critical thinking towards application of the knowledge in a range of contexts.  D    Demonstrates partial but limited command of knowledge and analytical skills as required for attainment of some of the course learning outcomes; limited evidence of critical thinking towards application of the knowledge in a range of contexts.  Fail Demonstrates little or no evidence of command of knowledge and analytical skills as required for attainment of the course learning outcomes; lacking in critical thinking towards application of the knowledge in a range of contexts.,Demonstrates thorough and complete mastery of the entire range of knowledge and analytical skills as required for maximal attainment in all the course learning outcomes; excellence in critical thinking towards application of the knowledge in a range of contexts.,Demonstrates substantial command of a broad range of knowledge and analytical skills as required for attainment of the majority of course learning outcomes; good evidence of critical thinking towards application of the knowledge in a range of contexts.,Demonstrates general but incomplete command of knowledge and analytical skills as required for attainment of adequate course learning outcomes; some evidence critical thinking towards application of the knowledge in a range of contexts.,Demonstrates partial but limited command of knowledge and analytical skills as required for attainment of some of the course learning outcomes; limited evidence of critical thinking towards application of the knowledge in a range of contexts.,Demonstrates little or no evidence of command of knowledge and analytical skills as required for attainment of the course learning outcomes; lacking in critical thinking towards application of the knowledge in a range of contexts.,Lecture-based course,,36,,100,50,50,,"Nelson DL, Cox MM (2017) Lehninger Principles of Biochemistry, 7th ed. W.H. Freeman, New York.Any other Biochemistry textbooks, e.g. Berg JM, Tymoczko JL, GJ Gatto Jr, Stryer L (2019) Biochemistry, 9th ed. W.H. Freeman, New York.",NIL,"Also offered as BMED2301 ""Life Sciences I (Biochemistry)"" to students of the Faculty of Engineering. Students who have passed BMED2301 (previously known as MEDE2301) is considered to have passed BIOC2600.",12,,,,,,,,,,,,,,,,,,,,,
