,No.,Course Code,Title,Credit,Pre-requisite,Available in 2022-2023,Available in 2023-2024,Semester offered in 2022-2023,Exam held in 2022-2023,Quota,Course Coordinator,Disciplinary Core Course,Disciplinary Elective,Capstone - Disciplinary Core Course,Capstone - Disciplinary Elective,Teachers
0,1,BIOC1600,Perspectives in biochemistry,6,"Level 3 or above in HKDSE Biology, Chemistry, or Combined Science with Biology or Chemistry component, or equivalent

Not for students who have passed in BIOL1110, or have already enrolled in this course",Y,Y,1,Dec,---,"Prof J Tanner, Biomedical Sciences",,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B C W Wong,Biomedical Sciences)
(Dr B H B Yuen,Biomedical Sciences)
(Dr. J W Y Ho,Biomedical Sciences)
(Dr. M S Y Huen,Biomedical Sciences)
(Dr. Y S Chan,Department of Paediatrics and Adolescent Medicine)
(Prof J Tanner,Biomedical Sciences)"
1,2,BIOC2600,Basic biochemistry,6,"Pass in BIOC1600 or BIOL1110 or ENGG1207 or BMED1207; and
Not for students who have passed in BIOL2220 or MEDE2301 or BMED2301, or have already enrolled in these courses.",Y,Y,1,Dec,300,"Dr M Kotaka, Biomedical Sciences","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A S L Wong,Biomedical Sciences)
(Dr C M Qian,Biomedical Sciences)
(Dr C W Lee,Biomedical Sciences)
(Dr M Kotaka,Biomedical Sciences)"
2,3,BIOC3601,Basic metabolism,6,Pass in BIOC2600 or BIOL2220 or MEDE2301 or BMED2301,Y,Y,1,Dec,80,"Dr B H B Yuen, Biomedical Sciences","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B H B Yuen,Biomedical Sciences)
(Dr L W Lim,Biomedical Sciences)
(Dr L Y L Cheng,Biomedical Sciences)
(Dr WW Ng,Biomedical Sciences)"
3,4,BIOC3604,Essential techniques in biochemistry and molecular biology,6,Pass in BIOC2600 or BIOL2220 or BMED2301 or MEDE2301,Y,Y,2,May,70,"Dr K M Yao, Biomedical Sciences","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr R C C Chang,Biomedical Sciences)
(Dr B C W Wong,Biomedical Sciences)
(Dr B H B Yuen,Biomedical Sciences)
(Dr K M Yao,Biomedical Sciences)
(Prof D K Y Shum,Biomedical Sciences)
(Prof Z J Zhou,Biomedical Sciences)"
4,5,BIOC3605,Sequence bioinformatics,6,Pass in BIOC2600 or BIOL2220 or BBMS2003 or BBMS2007 or MEDE2301 or BMED2301,Y,Y,2,May,80,"Dr B C W Wong, Biomedical Sciences",,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B C W Wong,Biomedical Sciences)
(Dr J W K Ho,Biomedical Sciences)"
5,6,BIOC3606,Molecular medicine,6,Pass in BIOC2600 or BIOL2220 or MEDE2301 or BMED2301,Y,Y,2,May,50,"Prof D Y Jin, Biomedical Sciences",,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Food & Nutritional Science (2022,2021,2020,2019)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B Gao,Biomedical Sciences)
(Dr. YQ Song,Biomedical Sciences)
(Prof D Y Jin,Biomedical Sciences)
(Prof K S E Cheah,Biomedical Sciences)"
6,7,BIOC3999,Directed studies in biochemistry,6,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in Biochemistry Major including BIOC2600 or BIOL2220 and BIOL3401.
This capstone course is for Biochemistry Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2, S",No exam,36,"Dr B H B Yuen, Biomedical Sciences",,,,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Biochemistry Major,Biomedical Sciences)
(Dr B H B Yuen,Biomedical Sciences)"
7,8,BIOC4610,Advanced biochemistry,6,Pass in BIOC3601 or BIOL3401 or BIOL3402 or BIOL3404,Y,Y,1,Dec,70,"Dr K M Yao, Biomedical Sciences","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J F C Ti,Biomedical Sciences)
(Dr K M Yao,Biomedical Sciences)
(Dr R Hervas Millan,Biomedical Sciences)
(Prof D Chan,Biomedical Sciences)"
8,9,BIOC4612,Molecular biology of the gene,6,Pass in BIOC3601 or BIOL3401 or BIOL3402 or BIOL3404 or BBMS2007,Y,Y,2,May,50,"Prof K S E Cheah, Biomedical Sciences",,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr K M Yao,Biomedical Sciences)
(Prof K S E Cheah,Biomedical Sciences)
(Prof PT Liu,Biomedical Sciences)
(Prof ZJ Zhou,Biomedical Sciences)"
9,10,BIOC4613,Advanced techniques in biochemistry & molecular biology,6,Pass in BIOC3604,Y,Y,1,Dec,70,"Prof D Chan, Biomedical Sciences","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B C W Wong,Biomedical Sciences)
(Dr C Y S Chung,Biomedical Sciences)
(Dr M C H Cheung,Biomedical Sciences)
(Dr. A B Kinghorn,Biomedical Sciences)
(Prof D Chan,Biomedical Sciences)
(Prof J A Tanner,Biomedical Sciences)"
10,11,BIOC4966,Biochemistry internship,6,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in Biochemistry Major including BIOC3604.
This capstone course is for Biochemistry Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2, S",No exam,20,"Dr B H B Yuen, Biomedical Sciences",,,,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Biochemistry Major,Biomedical Sciences)
(Dr B H B Yuen,Biomedical Sciences)"
11,12,BIOC4999,Biochemistry project,12,"Pass in at least 24 credits of advanced level (level 3 or 4) disciplinary core/elective courses in Biochemistry Major including 4 of the following 5 courses: BIOL3401, BIOC3601, BIOC3604, BIOC4610 and BIOC4613.
BIOC4610 and BIOC4613 can be taken concurrently with this course.
This capstone course is for Biochemistry Major students only.
This capstone course is ONLY opened to students who are in year 3 or above in the Biochemistry Major program.",Y,Y,0,No exam,25,"Dr B H B Yuen; Prof J D Huang, Biomedical Sciences",,,,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Biochemistry Major,Biomedical Sciences)
(Dr B H B Yuen,Biomedical Sciences)
(Prof J D Huang,Biomedical Sciences)"
12,13,BIOL3404,Protein structure and function,6,Pass in BIOC2600 or BIOL2220 or MEDE2301 or BMED2301,Y,Y,2,May,70,"Dr C M Qian, Biomedical Sciences",,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C M Qian,Biomedical Sciences)
(Dr Y L Zhai,Biological Sciences)"
13,14,BIOL1110,From molecules to cells,6,"Not for students who have passed in BIOC1600, or have already enrolled in this course.

Students who wish to take this course are expected to have taken HKDSE Biology and/or Chemistry or equivalent.  For students without HKDSE Chemistry, they are encouraged to take CHEM1041 concurrently or before.

Not for students having taken any level 2 (or above) Biomedical Sciences (BBMS) or Biochemistry (BIOC) or Bachelor of Medicine and Bachelor of Surgery (MBBS) course.  Students having taken level 2 BBMS/BIOC/MBBS course should take the replacement course for BIOL1110 in any regular major offered by the School of Biological Sciences.",Y,Y,"1, 2","Dec, May",382,"Dr G Y W Chan, Biological Sciences","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Plant Science (2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C S C Lo,School of Biological Sciences)
(Dr G Y W Chan,School of Biological Sciences)
(Dr K W Y Yuen,School of Biological Sciences)"
14,15,BIOL1201,Introduction to food and nutrition,6,NIL,Y,Y,1,Dec,133,"Dr L Zhang, Biological Sciences","Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J C Y Lee,School of Biological Sciences)
(Dr L Zhang,School of Biological Sciences)"
15,16,BIOL1309,Evolutionary diversity,6,NIL,Y,Y,2,May,250,"Dr B Guenard, Biological Sciences","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Food & Nutritional Science (2016,2015)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Earth System Science (2016,2015)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Marine Biology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Plant Science (2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B Guenard,School of Biological Sciences)
(Dr C S C Lo,School of Biological Sciences)
(Dr C Schunter,School of Biological Sciences)
(Dr M Yasuhara,School of Biological Sciences)"
16,17,BIOL2101,Principles of food chemistry,6,"Pass in BIOL1201; and NOT for students who have passed in BIOL3201.
The course is only for students admitted in 2017-2018 or thereafter.",Y,Y,1,Dec,120,"Dr J C Y Lee, Biological Sciences","Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017)","Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017)",,,"(Dr J C Y Lee,School of Biological Sciences)"
17,18,BIOL2102,Biostatistics,6,Pass in BIOC1600 or BIOL1110 or BIOL2306 or ENVS1301 or ENVS2002 or SCNC1111,Y,Y,1,No exam,169,"Dr E Pickett, Biological Sciences","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Environmental Science (2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr E Pickett,Faculty of Science)
(Dr J D Gaitan-Espitia,School of Biological Sciences)"
18,19,BIOL2103,Biological sciences laboratory course,6,"Pass in BIOL1110.
Not for students having taken any level 3 (or above) Biochemistry (BIOC) course or BBMS2001.",Y,Y,"1, 2","Dec, May",210,"Dr W Y Lui, Biological Sciences","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Plant Science (2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A Yan,School of Biological Sciences)
(Dr W Y Lui,School of Biological Sciences)
(Prof B K C Chow,School of Biological Sciences)"
19,20,BIOL2220,Principles of biochemistry,6,"Pass in BIOL1110; and
Not for students who have passed in BIOC2600, or have already enrolled in this course.",Y,Y,1,Dec,100,"Dr C S C Lo, Biological Sciences","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Plant Science (2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C S C Lo,School of Biological Sciences)"
20,21,BIOL2306,Ecology and evolution,6,Pass in BIOL1110 or BIOL1309 or ENVS1301 or ENVS1401,Y,Y,1,Dec,80,"Dr C Schunter, Biological Sciences","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Marine Biology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A C Hughes,School of Biological Sciences)
(Dr C Schunter,School of Biological Sciences)
(Prof G A Williams (Field course component only),School of Biological Sciences)
(TBC,School of Biological Sciences)"
21,22,BIOL2409,Biotechnology industry and entrepreneurship,6,"Pass in 1110
NOT for students who have passed in BIOL3409.",Y,Y,2,No exam,40,"Dr W B L Lim, Biological Sciences","Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Molecular Biology & Biotechnology (2022,2021)",,,"(Dr R Law,Faculty of Science)
(Dr W B Lim,School of Biological Sciences)
(Guest Lecturer,School of Biological Sciences)"
22,23,BIOL3101,Animal behaviour,6,Pass in BIOL2306,Y,Y,1,Dec,30,"Dr S W Y Sin, Biological Sciences","Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr S W Y Sin,School of Biological Sciences)"
23,24,BIOL3105,Animal physiology and environmental adaptation,6,Pass in BIOL2103 or BIOL2220 or BIOC2600 or MEDE2301,Y,Y,2,May,35,"Prof A O L Wong, Biological Sciences",,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)",,,"(Dr W Y Lui,School of Biological Sciences)
(Dr Y L Zhai,School of Biological Sciences)
(Prof A O L Wong,School of Biological Sciences)"
24,25,BIOL3109,Environmental and molecular ecology,6,Pass in BIOL2103 or ENVS2002,Y,Y,2,May,30,"Dr Mathew Seymour, Biological Sciences",,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2016,2015)
Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Mathew Seymour,School of Biological Sciences)"
25,26,BIOL3202,Nutritional biochemistry,6,Pass in BIOC2600 or BIOL2220 or MEDE2301,Y,Y,1,Dec,100,"Dr C B Chan, Biological Sciences","Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C B Chan,Biological Sciences)"
26,27,BIOL3203,Food microbiology,6,Pass in BIOC2600 or BIOL2220 or MEDE2301,Y,Y,2,No exam,140,"Dr H S El-Nezami, Biological Sciences","Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr H S El-Nezami,Biological Sciences)
(TBC,Biological Sciences)"
27,28,BIOL3204,Nutrition and the life cycle,6,Pass in BIOL2220 or BIOC2600 or  BIOL3202,Y,Y,2,No exam,50,"Dr J C Y Louie, Biological Sciences",,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J C Y Louie,Biological Sciences)"
28,29,BIOL3205,Human physiology,6,Pass in BIOC2600 or BIOL2103 or BIOL2220 or MEDE2301,Y,Y,1,Dec,135,"Dr W Y Lui, Biological Sciences",,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C B Chan,Biological Sciences)
(Dr W Y Lui,Biological Sciences)
(Prof A O L Wong,Biologicl Sciences)"
29,30,BIOL3207,Principles of toxicology,6,Pass in BIOC2600 or BIOL2220 or BIOL3205 or MEDE2301,Y,Y,2,No exam,80,"Dr H S El-Nezami, Biological Sciences",,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr H S El-Nezami,School of Biological Sciences)
(Guest Lecturer,School of Biological Sciences)"
30,31,BIOL3209,Food and nutrient analysis,6,"Pass in BIOL2101
Not for students who have passed in CHEM3242",Y,Y,1,No exam,60,"Dr J C Y Lee, Biological Sciences","Major in Food & Nutritional Science (2018,2017)","Major in Food & Nutritional Science (2022,2021,2020,2019,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J C Y Lee,School of Biological Sciences)
(Dr K S Leung,School of Biological Sciences)"
31,32,BIOL3211,Nutrigenomics,6,Pass in BIOC2600 or BIOL2220 or MEDE2301,Y,Y,2,May,40,"Dr J C Y Lee, Biological Sciences",,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J C Y Lee,School of Biological Sciences)"
32,33,BIOL3217,"Food, environment and health",6,Pass in BIOL 2101 or ENVS2001 or ENVS2002,Y,Y,1,No exam,45,"Dr K S Leung, Biological Sciences",,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J C Y Lee,School of Biological Sciences)
(Dr K S Leung,School of Biological Sciences)"
33,34,BIOL3218,Food hygiene and quality control,6,"Pass in BIOL2101 or BIOL3203
Not for students who have passed in BIOL3208",Y,Y,2,May,30,"Dr Zhang Lu, Biological Sciences",,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Zhang Lu,School of Biological Sciences)"
