,Question,Answer,Type
0,How do I apply to HKU through JUPAS scheme?,We welcome your application to HKU through the Joint University Programmes Admissions System (JUPAS) if you are a LOCAL applicant applying on the strength of Hong Kong Diploma of Secondary Education (HKDSE). Please check the JUPAS website via https://www.jupas.edu.hk/en/ for eligibility and procedures of JUPAS application.,HKDSE
1,What are the common mistakes as a JUPAS applicant?,"Students should not forget that in addition to the overall result, they must meet the minimum University Entrance Requirements (UER) and the additional entryance requirements for individual programmes. For details, please refer to https://www.hku.hk/dse. It should be noted that instead of the actual priority of programme choices, the preferences of applicants are only made known to the institutions in the form of 5 bands (i.e. Band A, B, C, D, E). As long as students meet the admissions requirements of the programmes, they may have the opportunity to be admitted to more than one programmes at the same time. After institutions submit the merit order list results to the JUPAS Office, students will be assigned to the highest-ranked programme according to their priority. Therefore, to avoid missing the chance of being assigned to their preferred programmes, students should not neglect their personal interests when indicating programmes as their Band A choices. Students do not check emails regularly, and incorrectly fill in the contact information in the ""JUPAS"" account (such as incorrect or infrequently used email account, contact number and address). This hinders us from effectively notifying students about interview arrangements or other important messages. As we will distribute information mainly via email and/or SMS, students should ensure that they fill in the correct, complete and commonly used contact methods, and check emails regularly to avoid missing important information.",HKDSE
2,How can I apply to HKU as a HKDSE repeater?,All students who apply to HKU on the basis of HKDSE results must only make their application through JUPAS. Please also refer to the JUPAS website via https://www.jupas.edu.hk/en/ for eligibility and procedures of JUPAS application.,HKDSE
3,What are the minimum university entrance requirements?,"To have your application considered for admission, you MUST FIRST satisfy the University Entrance Requirements. Each applicant shall gain “332233” in four core subjects plus two elective subjects in the HKDSE Examination. In addition to the standard University Entrance Requirements, some of the University's programmes have additional entrance requirements, which vary from programme to programme. For more information about the specific requirements of different programmes, please visit https://www.hku.hk/dse.",HKDSE
4,How is the admission score calculated?,"Starting from the academic year 2020/2021, HKU widely adopted the “Best 5 subjects” or “Best 6 subjects” selection principles for all programmes. It is then not compulsory to take the four core subjects into calculation of the admission scores, which provides a greater flexibility for students to choose their preferred programmes. In addition, HKU adopted a new scoring system by giving bonus points to students achieving Level 5, 5* or 5** in the HKDSE subjects. Under the HKU scoring system, the level to score conversion are as follows: Level 5**: 8.5; Level 5*: 7; Level 5: 5.5; and Level 1 – 4: 1 – 4. Please refer to https://www.hku.hk/dse for more details.",HKDSE
5,"Other than the HKDSE result, what are the factors being considered during the admission process?","In addition to the HKDSE results, students with outstanding achievements in other areas will also be considered.  Students under any of the following schemes may be invited to join our centrally coordinated interview in June, 2022. Interview Performance; Bonus point for 5*/5** in HKDSE; Aptitude Exercise (for BA(AS)); Personal statement (for Education programmes); OLE / SLP",HKDSE
6,Will I be advantaged if I put HKU programmes as Band A choices?,"A: More than 99% of the students newly admitted in the academic year 2021/2022 indicated HKU programmes as Band A choices. If students put HKU programmes as Band A choices, they may have a better chance to be selected for interview or consultation.",HKDSE
7,"If I am a non-Chinese speaking (NCS) student, can I apply to HKU with other qualifications in Chinese language apart from the HKDSE result?","We welcome eligible NCS applicants (both school and non-school) to submit Alternative Qualifications in Chinese Language (ACL), i.e. GCSE / GCE etc. for consideration in lieu of the general Chinese language requirement. If NCS applicants submit more than one ACL and / or have HKDSE Chinese Language result during selection, the best result will be considered. Further information on submissions and verification of ACL is available at the JUPAS website.",HKDSE
8,"Can I use other public examination results such as IB, GCE and IGCSE to fulfill the JUPAS admission requirement?","For JUPAS admission scheme, the University will only consider the HKDSE result of an applicant. Other public examination results will only serve as reference unless exceptional circumstances.",HKDSE
9,How is the score for applicants with more than one sitting in HKDSE examination calculated?,"In general, most of the programmes offered by HKU consider the best results achieved by candidates in different combinations of sittings, except for a few programmes which only consider the latest results. Few programmes may also impose a penalty on HKDSE repeaters. Please refer to https://www.hku.hk/dse for more details.",HKDSE
10,Does HKU provide sports scholarship?,"In June 1995, The University of Hong Kong launched the territory’s first sports scholarship scheme. The Sports Scholarship Scheme offers an alternative admission path to the University for outstanding young athletes. To be eligible for the Sports Scholarship Programme applicants must have (i) satisfied the minimum University entrance requirements for the year of admission, (ii) demonstrated exceptional sporting prowess; and (iii) met the entrance requirements for the particular academic programme of study as specified by and/or modified by the relevant Faculty. For more details, please visit https://www.cse.hku.hk/compsports.asp?pageid=132.",HKDSE
11,Will I be invited for an interview at HKU?,"Admission interview is not compulsory for some of the programmes offered by HKU. Moreover, if you are applying for programmes with interview being arranged, you will be contacted on the interview arrangements through email or phone once shortlisted.",HKDSE
12,How are candidates selected for interviews?,"Normally, Band A applicants will be primarily considered for interview invitation. However, the selection criteria for interview vary from different programmes. You are advised to visit the faculty websites for more details.",HKDSE
13,What is the University’s application deadline?,You may wish to go through the Important Dates when applying to the University. Applications submitted after the first round application deadline will be considered on a rolling basis subject to programme availability.,HKDSE (Non-local)
14,What is the University’s second language requirement?,"Applicants to the University are required to demonstrate proficiency in a language other than English. Chinese is not compulsory as the medium of instruction at the university is English. You may refer to the Admissions Standards on ways to meet this requirement. If you find yourself unable to provide the required examination result to meet this requirement, please apply for a waiver as instructed in the Admissions Standards. Consideration for waivers will take place at the times of evaluation and students whose waivers are not granted may still be required to provide proof of proficiency of the qualification.",HKDSE (Non-local)
15,Where should I submit my application?,All application to the University is submitted online. You may apply through our online application system.,HKDSE (Non-local)
16,How can I apply for a scholarship?,"Once you have successfully submitted an application for admission, you will be considered for an entrance scholarship automatically. The result of both admission and entrance scholarship will be announced at the same time. No separate application for entrance scholarship is required. Selection is based on academic merits with consideration of non-academic achievements. The University will also consider students for special scholarships which might require separate application. You are advised to refer to the details of all the scholarships on our Fees and Scholarships page. After you are admitted to the University, you may apply for other HKU scholarships. You may be awarded a merit-based scholarship based on your work in the University.",HKDSE (Non-local)
17,How much is the tuition fee?,You may refer to our Fees and Scholarships page for the latest information. ,HKDSE (Non-local)
18,What is the University’s application deadline?,You may wish to go through the Important Dates when applying to the University. Applications submitted after the first round application deadline will be considered on a rolling basis subject to programme availability.,International
19,Do I need Chinese to study at the University?,"Chinese is not a must for the admissions. However, some programmes may require knowledge of Cantonese or Chinese language. Please visit our Admissions Standards page for details.",International
20,What is the University’s second language requirement?,"Applicants to the University are required to demonstrate proficiency in a language other than English. Chinese is not compulsory as the medium of instruction at the university is English. You may refer to the Admissions Standards on ways to meet this requirement. If you find yourself unable to provide the required examination result to meet this requirement, please apply for a waiver as instructed in the Admissions Standards. Consideration for waivers will take place at the times of evaluation and students whose waivers are not granted may still be required to provide proof of proficiency of the qualification.",International
21,Where should I submit my application?,All application to the University is submitted online. You may apply through our online application system.,International
22,How can I apply for a scholarship?,"Once you have successfully submitted an application for admission, you will be considered for an entrance scholarship automatically. The result of both admission and entrance scholarship will be announced at the same time. No separate application for entrance scholarship is required. Selection is based on academic merits with consideration of non-academic achievements. The University will also consider students for special scholarships which might require separate application. You are advised to refer to the details of all the scholarships on our Fees and Scholarships page. After you are admitted to the University, you may apply for other HKU scholarships. You may be awarded a merit-based scholarship based on your work in the University.",International
23,What are the requirements to get into the University?,"The University will consider your academic and non-academic achievement during the evaluation process of your application. You can apply to the University based on your performance in an international examination (IB Diploma, GCE A Level, SAT / ACT / AP, etc) or a national examination (Indian Board Examinations, ATAR, Canadian provincial examinations, etc). Please note that some programmes may have specific requirements. You are encouraged to review them for your programme choice(s). You will also need to provide proof of proficiency in English and a second language. Please refer to our Admissions Standards page.",International
24,How much is the tuition fee?,You may refer to our Fees and Scholarships page for the latest information. ,International
25,Do I need Chinese to study at the University?,"Chinese is not a must for the admissions. However, some programmes may require knowledge of Cantonese or Chinese language. Please visit our Admissions Standards page for details.",Bachelor's Degree
26,Can I transfer to the University?,"If you would like to transfer to the University, you shall apply through our “International / Non JUPAS Admissions Scheme” for Year 1 entry.  You should clearly state on the application any courses you have completed for your current bachelor’s degree and indicate that you wish to apply for transfer of credits. After you are admitted, the Faculty will review the courses you have taken at your current institution/university and will consider your request for entry to senior years on a case-by-case basis. Please note that successful completion of one year study on a full-time bachelor’s degree programme at a recognized university with a cGPA of at least 70% of the highest GPA of the institution, or at 3.0, whichever is higher (or its equivalent where a GPA system is not in use) can be used to satisfy the General Academic Requirement. However, you are also required to fulfill the Programme specific requirement (if applicable), English language requirement, Second language requirement. Please find the details on our Admissions Standards page.",Bachelor's Degree
27,Am I eligible to apply for senior-year places?,"Senior-year places are only for current local final year students or graduates of local sub-degrees as below: Final year students of a recognised full-time Associate Degree (AD) or Higher Diploma (HD) programme of at least two years in duration from a community college in Hong Kong; or Graduates of a recognised full-time AD or HD programme of at least two years in duration from a community college in Hong Kong and are not currently enrolling in a bachelor's degree / higher degree programme. Non-final year students of a recognised local full-time AD or HD programme and applicants who have once enrolled in a bachelor's degree / higher degree programme at a tertiary institution and completed one or more year(s) of studies, irrespective of whether the qualifications have been awarded, are NOT eligible for senior-year places and should only apply for first-year programmes through “International Admissions Scheme / Non-JUPAS Admissions Scheme”. For details of eligibility to senior-year places, please visit our Entrance Requirements page.",Hong Kong Sub-degrees (for senior year entry)
28,Do I need to provide any proof on ways to satisfy the University's English and Second language requirements?,Applicants for senior-year places are only required to satisfy the Programme Requirements here. You are not required to provide additional language proficiency proof if you are not interested in admission as a first-year student and have not chosen any first-year programmes in your application. Only applicants who are interested in admission as a first-year student are required to fulfil the language requirements.,Hong Kong Sub-degrees (for senior year entry)
29,Is there any quota of senior-year places?,"There is a fixed quota for senior-year admission of sub-degree applicants. For number of senior places, please refer to our Programme Information here: https://admissions.hku.hk/apply/hong-kong-sub-degrees#program-information",Hong Kong Sub-degrees (for senior year entry)
30,What are the special features in the 6901 BSc programme?,"There are several special features in the 6901 BSc curricula offered by the Faculty – 7 intensive majors, 6 accredited majors, 2 articulation pathways, and a Minor in Science Entrepreneurship, equipping outstanding undergraduate students with skills for versatile developments according to their aspirations, ability and interests. For more information, please click here.",BSc 6901
31,What are the features of 6901 BSc programme?,one programme code with a choice of 14 science Majors and 7 Intensive Majors; complete freedom in choosing any science Major after admission; no quota for each Science Major; easy to change Majors; second Major and Minor options are available in both Science or non-Science disciplines,BSc 6901
32,What are the choices of Science Majors available for the programme?,Biochemistry; Biological Sciences (Intensive); Chemistry / Chemistry (Intensive); Decision Analytics; Earth System Science; Ecology & Biodiversity / Ecology & Biodiversity (Intensive); Environmental Science; Food & Nutritional Science; Geology / Geology (Intensive); Mathematics / Mathematics (Intensive); Molecular Biology & Biotechnology / Molecular Biology & Biotechnology (Intensive); Physics / Physics (Intensive); Risk Management; Statistics,BSc 6901
33,How many and what courses I have to complete for the programme?,"96 credits for 16 courses on Major including 2 Science Foundation Courses and capstone requirement (40%);; 18 credits for 2 English courses and 1 Chinese course for university language requirement (7.5%);; 36 credits for 6 Common Core courses in 4 Areas of Inquiry (15%);; 90 credits for 15 courses available for electives, or courses leading to a Minor or a second Major (37.5%); 144 - 150 credits (24 - 25 courses) on Intensive Major including 2 Science Foundation Courses and capstone requirement;; 18 credits for 2 English courses and 1 Chinese course for university language requirement;; 36 credits for 6 Common Core courses in 4 Areas of Inquiry;; 36 - 42 credits (6 - 7 courses) available for electives, or courses leading to a Minor.",BSc 6901
34,When do I have to declare my Major?,"You are not required to declare your Major in the first year. You may ""shop around"" in your first and second years and make the decision after your second year of study at the latest.",BSc 6901
35,Can I declare a Major in a subject in which I have no background in my secondary school studies?,"Yes, but you may have to study the preparatory courses first to decide whether you can follow the Major.",BSc 6901
36,Is there any quota for each Science Major?,No.  Students are free to choose any science Major after admission.,BSc 6901
37,"If there is no quota, would there be possibilities that some Majors have a large number of students, some not?","Yes, certainly. But first of all, the Faculty did some estimation and believes the number of students in each Major will not fluctuate too widely from that of the past. Secondly, it is also natural for the number of students in different Majors to go up and down according to demand. Thirdly, the market will have a natural mechanism of adjustment.",BSc 6901
38,"If that situation arises, would that degrade the quality of the teaching?",Absolutely not. The Faculty will adjust teaching staff number to cope with changing number of students in a Major.,BSc 6901
39,Do I need to spend extra time if I change Major?,"No, if you can still meet the curriculum requirements within the years of studies. If not, you may have to spend an extra semester or a year, or even longer.",BSc 6901
40,Can I do double major or take Major-Minor in Science or non-Science discipline?,"Yes, in addition to the primary science Major for the BSc degree, you may take a second Major or a Minor in both Science and non-Science (arts, business, social sciences, engineering, etc) disciplines.  About 1/4 of BSc students take one Major and one Minor, and another 1/4 take two Majors.",BSc 6901
41,Do I have one degree or two if I do a second Major in a non-Science discipline? Is it still going to be a BSc one?,"You have only one degree — the BSc, as you are accepted to the Bachelor of Science degree when you are admitted.  The degree always goes with the first Major. But your Majors will be recorded on your transcript.",BSc 6901
42,What happens if I want to do specific double Major but there are time-table clashes?,You have to have a primary Major in Science. The feasibility of the second Major or Minor does depend on timetable. The Faculty cannot make guarantee on feasibility of all combinations.,BSc 6901
43,Is there any quota for a second Major or Minor in other Faculties?,"There is no quota for Science Majors, but for the Majors and Minors offered by other faculties, enrolment of courses may be restricted by quota, timetable clashes or certain requirements. There may be circumstances that you are not able to enroll in some of the popular courses offered by non-science departments, such as business courses.",BSc 6901
44,Can I take advanced level courses in Year 1?,"Yes, subject to the approval of the department that offers the courses.",BSc 6901
45,"If I do the Major-Minor instead of a single Major, will I be less employable by a specialty field? Will the chance of furthering my study in a specialised subject be degraded?","For those who intend to develop a career in a specialised area or further their study (MPhil/PhD), we would recommend them to specialise early on one subject and takes more than the minimum number of core courses required for the specialised subject.",BSc 6901
46,How do companies know how specialised I am in a subject?,The courses you have taken and the Major/Minor will be shown on the transcript.,BSc 6901
47,How do I get advice from the Faculty on course selection?,"We understand that selection of Major or course is a very important decision for students. Our Faculty academic advisers will advise students on the choice of Major, course requirement and possible Major-Minor combination to suit their interests, career aspiration and ability. The Faculty, has also produced a booklet on ""Tips for choosing your Major"".",BSc 6901
48,Are there undergraduate research opportunities?,"Yes, we encourage undergraduate students to engage in research early. Research projects, Summer Research Fellowships, Overseas Research Fellowships and Undergraduate Research Fellowship Programme are available for students.",BSc 6901
49,How do you facilitate students in the 4-year curriculum to take courses across the faculties?,The University has introduced a central timetabling system requiring all undergraduate courses to adopt a standard timetable pattern and all time tables will be assigned centrally.,BSc 6901
50,What are the University entrance requirements and your Faculty entrance requirements?,"English language: Level 3; Chinese language: Level 3; Mathematics: Level 2; Liberal Studies: Level 2; Elective subjects: Level 3 in two subjects, with at least one elective subject in Biology, Chemistry, Physics, Combined Science or Integrated Science",BSc 6901
51,Do I need to put the Programme in Band A choice?,"Over 98% of students admitted in the past years place Science programmes amongst their JUPAS Band A choices. Past experience indicates that the higher the priority you put HKU Science programmes, the greater chance you will be admitted.",BSc 6901
52,How many places are available?,6901: 305 places for the programme; and an additional 85 places for Direct Admissions Scheme. (There is a separate quota for mainland and international students),BSc 6901
53,Do you interview students for admissions?,"Interviews may be arranged for principal nominees and students with outstanding performance in other areas such as extra-curricular activities, sports and leadership.",BSc 6901
54,What are the selection criteria for admssions?,"Science elective subjects*, Mathematics and M1/ M2: each subject will be given a weighting of 2; English Language: will be given a weighting of 1.5",BSc 6901
55,Is extended module 1 or 2 (M1 or M2) of Mathematics counted as an elective subject?,"Yes, M1 or M2 is counted as an elective subject (but not a ""Science elective subject"" as specified in previous question).",BSc 6901
56,What are the admissions scores for 6901 BSc programme in 2021?,"HKDSE: 22 - 36.5 (Best 5 subjects); GCEAL: 2A*, 1A (average admissions score); IB: 38 (average admissions score)",BSc 6901
57,"If I get 5 or above in DSE English, will I be exempted from taking the English courses?","Yes, the first English course will be exempted.",BSc 6901
