,text_a,text_b,labels
0,(HKDSE) How do I apply to HKU through JUPAS scheme?,(HKDSE) We welcome your application to HKU through the Joint University Programmes Admissions System (JUPAS) if you are a LOCAL applicant applying on the strength of Hong Kong Diploma of Secondary Education (HKDSE). Please check the JUPAS website via https://www.jupas.edu.hk/en/ for eligibility and procedures of JUPAS application.,1
1,(HKDSE) What are the common mistakes as a JUPAS applicant?,"(HKDSE) Students should not forget that in addition to the overall result, they must meet the minimum University Entrance Requirements (UER) and the additional entryance requirements for individual programmes. For details, please refer to https://www.hku.hk/dse. It should be noted that instead of the actual priority of programme choices, the preferences of applicants are only made known to the institutions in the form of 5 bands (i.e. Band A, B, C, D, E). As long as students meet the admissions requirements of the programmes, they may have the opportunity to be admitted to more than one programmes at the same time. After institutions submit the merit order list results to the JUPAS Office, students will be assigned to the highest-ranked programme according to their priority. Therefore, to avoid missing the chance of being assigned to their preferred programmes, students should not neglect their personal interests when indicating programmes as their Band A choices. Students do not check emails regularly, and incorrectly fill in the contact information in the ""JUPAS"" account (such as incorrect or infrequently used email account, contact number and address). This hinders us from effectively notifying students about interview arrangements or other important messages. As we will distribute information mainly via email and/or SMS, students should ensure that they fill in the correct, complete and commonly used contact methods, and check emails regularly to avoid missing important information.",1
2,(HKDSE) How can I apply to HKU as a HKDSE repeater?,(HKDSE) All students who apply to HKU on the basis of HKDSE results must only make their application through JUPAS. Please also refer to the JUPAS website via https://www.jupas.edu.hk/en/ for eligibility and procedures of JUPAS application.,1
3,(HKDSE) What are the minimum university entrance requirements?,"(HKDSE) To have your application considered for admission, you MUST FIRST satisfy the University Entrance Requirements. Each applicant shall gain “332233” in four core subjects plus two elective subjects in the HKDSE Examination. In addition to the standard University Entrance Requirements, some of the University's programmes have additional entrance requirements, which vary from programme to programme. For more information about the specific requirements of different programmes, please visit https://www.hku.hk/dse.",1
4,(HKDSE) How is the admission score calculated?,"(HKDSE) Starting from the academic year 2020/2021, HKU widely adopted the “Best 5 subjects” or “Best 6 subjects” selection principles for all programmes. It is then not compulsory to take the four core subjects into calculation of the admission scores, which provides a greater flexibility for students to choose their preferred programmes. In addition, HKU adopted a new scoring system by giving bonus points to students achieving Level 5, 5* or 5** in the HKDSE subjects. Under the HKU scoring system, the level to score conversion are as follows: Level 5**: 8.5; Level 5*: 7; Level 5: 5.5; and Level 1 – 4: 1 – 4. Please refer to https://www.hku.hk/dse for more details.",1
5,"(HKDSE) Other than the HKDSE result, what are the factors being considered during the admission process?","(HKDSE) In addition to the HKDSE results, students with outstanding achievements in other areas will also be considered.  Students under any of the following schemes may be invited to join our centrally coordinated interview in June, 2022. Interview Performance; Bonus point for 5*/5** in HKDSE; Aptitude Exercise (for BA(AS)); Personal statement (for Education programmes); OLE / SLP",1
6,(HKDSE) Will I be advantaged if I put HKU programmes as Band A choices?,"(HKDSE) A: More than 99% of the students newly admitted in the academic year 2021/2022 indicated HKU programmes as Band A choices. If students put HKU programmes as Band A choices, they may have a better chance to be selected for interview or consultation.",1
7,"(HKDSE) If I am a non-Chinese speaking (NCS) student, can I apply to HKU with other qualifications in Chinese language apart from the HKDSE result?","(HKDSE) We welcome eligible NCS applicants (both school and non-school) to submit Alternative Qualifications in Chinese Language (ACL), i.e. GCSE / GCE etc. for consideration in lieu of the general Chinese language requirement. If NCS applicants submit more than one ACL and / or have HKDSE Chinese Language result during selection, the best result will be considered. Further information on submissions and verification of ACL is available at the JUPAS website.",1
8,"(HKDSE) Can I use other public examination results such as IB, GCE and IGCSE to fulfill the JUPAS admission requirement?","(HKDSE) For JUPAS admission scheme, the University will only consider the HKDSE result of an applicant. Other public examination results will only serve as reference unless exceptional circumstances.",1
9,(HKDSE) How is the score for applicants with more than one sitting in HKDSE examination calculated?,"(HKDSE) In general, most of the programmes offered by HKU consider the best results achieved by candidates in different combinations of sittings, except for a few programmes which only consider the latest results. Few programmes may also impose a penalty on HKDSE repeaters. Please refer to https://www.hku.hk/dse for more details.",1
