,Question,Answer
0,What advisers are there at the University to help me with studies?,"There are six types of Academic Advisers under the University-wide Academic Advising System who can help you with studies:
1. Faculty Academic Advisers (FAA – teachers at your home Faculty);
2. Faculty Temporary Academic Adviser (TAA – teachers who specialize on helping students to explore major/minor options);
3. Faculty Student Advisers;
4. Residential Student Advisers;
5. Academic Advisers in the Academic Advising Office (AAO); and
6. Administrative staff from Faculty / Department offices. "
1,How can I find my Faculty Academic Adviser (FAA) in SIS?,"You can check who your FAA is via the web link of https://ugaa.hku.hk/viewugadvisers.php. For enquiries and support, please call us at 39170128."
2,How should I contact my FAA and what should I do if he/she does not respond?,"You could email your FAA first to make an appointment with him/her. His/her contacts are at https://ugaa.hku.hk/viewugadvisers.php (Portal login required). Sometimes, FAAs reserve “consultation hours” for advisees, please check with them. If your FAA is too busy to get back to you, please try emailing him/her for a few times more and approach your Faculty Office/Department for help if needed."
3,Can I change my FAA?,"Under normal circumstances, FAA cannot be changed once assigned. However, if you have some very special reasons or concerns, please liaise with your home Faculty Office on this."
4,What is Temporary Academic Advisers (TAA)? How can I get one?,"TAA is a teacher from Faculty, usually the Programme Director or co-ordinator of a particular programme, to help you explore major/minor options and answer enquiries for a particular discipline. You can go to “Self Services” in SIS, and then click “Request Temporary Adviser” to request for one. Your advising relationship with TAA lasts for 90 days. TAAs are available for all major/minor programmes that are open to non-home Faculty students."
5,How can I find the student advisers in my Faculty?,"You can find the information of the student advisers in your Faculty website, or in SIS under “Find Your Adviser” on the right hand-side if a student adviser has been assigned to you. See here for more information. You can also contact your Faculty Office for further support on peer advising, especially for those Faculties which do not have student advisers yet."
6,How can the Academic Advising Office help me with studies?,"Academic Advisers at AAO supplement the role of FAA through advising students on university regulations, general university requirements, development of study plans, major minor selection, cross faculties learning opportunities and academic progress. For first year students in particular, AAO helps them make a smooth transition to the University and develop study plans to achieve their academic goals. We provide one-on-one advising service. Please make an appointment with us at https://booking.aao.hku.hk/ ."
7,I am interested in the programmes of HKU and would like to know more. Which unit should I contact?,"For matters related to admission, please visit the website of our Admissions Office at https://admissions.hku.hk/. Their FAQ section is very useful too: https://admissions.hku.hk/faqs."
8,What is advanced standing? Am I eligible to apply for it?,"Advanced standings are the credits granted to eligible non-JUPAS entrants in recognition of their studies completed successfully elsewhere before admission to HKU (e.g. IB, GCE A-level, community college, overseas university). You are not required to make up these “advanced credits” during your course of study at HKU so this might enable you to shorten your overall study period. However, no further advanced standing will be granted after admission to the programme or the  deadline stipulated by the Faculty. For enquiry and application, please contact your Faculty Office."
9,What are the “UG5” requirements?,"For most curriculums, University Regulation UG5 refers to the following University Graduation Requirements:"
10,"How can I get exempted from the English requirement, that is, CAES 1000?","If you achieved level 5 or above in HKDSE English, or if you are a non-JUPAS student and have the equivalent qualification, you can choose whether or not to take CAES1000. If you wish to take it, just enroll for it in SIS, no prior application is needed; if you do not wish to take it, a free elective course in lieu is needed. SIS Office will, by around August 30, automatically assign a CAES1000 class to those who need to take it but have not enrolled for it yet and those who have attempted to enroll for it but have not been successful yet."
11,"I cannot write or speak in Chinese, can I be exempted from the Chinese requirement?",Only Putonghua-speaking students and students who have not studied Chinese language during their secondary education or who have not attained the requisite level of competence in the Chinese language may be exempted from the Chinese requirement. They might be asked to take credit bearing Cantonese or Putonghua language courses offered by the School of Chinese especially for international and exchange students; or to take an elective course in lieu. Please check with Faculty Office or School of Chinese for further details.
12,"Do I need to apply for the exemptions of the language requirements, or will it be done automatically by my Faculty?","Yes, you need to apply to your Faculty for exemption of Chinese and/or English language requirements if you are eligible for that. Please apply as soon as possible after you are admitted to HKU."
13,I wish to brush up my English and Chinese. Are there any support units that I can approach?,"For support on English, please contact the Centre for Applied English Studies (CAES) at https://caescss.hku.hk/; For support on Chinese, please go to the School of Chinese at http://web.chinese.hku.hk/main/chinese-language-enhancement-program/"
14,"I have some questions regarding the Common Core curriculum, such as the special proviso, the course requirements and many others … who should I approach?","For enquiries on Common Core, please refer to the Common Core Website at https://commoncore.hku.hk/. Many enquiries raised by students have been included in their FAQs at https://commoncore.hku.hk/faqs/."
15,How and when should I select courses?,"You should select courses via SIS (Student Information System) during the course selection period before the semester start for both semester one and semester two. You can modify your enrolment in the add/drop period, usually during the first two weeks of teaching in each semester."
16,"Where can I find more information about my interested courses? For example, its assessment methods and learning outcomes?","You can visit the “Course Information” section in SIS for learning more about your interested courses, such as assessment methods and other important information. The navigation is: HKU Portal -> My Page -> SIS Menu -> Enrollment -> Course Information"
17,How many credits can I take to the maximum? Can I take more than 30 credits?,"The University recommends you to take 24-30 credits in one semester (except the summer semester) unless otherwise permitted or required by your Faculty. Theoretically, you can take additional 6 credits to the maximum in one semester, accumulating up to a maximum of 72 credits in an academic year. If you are planning to take more than 6 courses (over 36 credits) in a semester, please apply to your Faculty for overloading. Justifications might be required. For details, please look at UG 4 of the Regulations for First Degree Curricula."
18,Are there any requirements on the minimum number of courses that I need to take in each semester?,"The University recommends you to take 24-30 credits in one semester (except the summer semester). If you are planning to take less than 4 courses (under 24 credits) in a semester, please apply to your Faculty for under-loading. Justifications might be required."
19,How many courses can I take for the summer semester? Do I need to pay for that?,"Under normal circumstances, you can take 2 courses at most for the summer semester. Fee exemption/reduction usually applies for HKU students. For details, please check with the course offering departments."
20,Can I late drop a course?,"Late drop is usually not allowed after the add/drop period. Also, the decision to late drop a course might have far-reaching ramifications, such as jeopardizing your progress of studies and you might not meet the minimum requirement of 24 credits after dropping the course."
21,Can I late add a course?,Late add is usually not recommended after the add/drop period unless you have a very strong reason for that. Please seek approval from your Faculty on this if needed.
22,How are full-year courses counted towards my study load?,"Half of the credits of full-year courses are counted towards the study load for each semester, that is, 6 credits in the first semester and 6 credits in the second semester for a 12-credit full-year course. Under normal circumstances, the final grades of full-year courses will only be counted in the GPA for the second semester after you have completed the full-year courses."
23,"If I have completed more than 60 credits in an academic year, can I take fewer in the subsequent year(s) of study as long as I can complete a total of 240 credits upon graduation?","Yes, you can. However, you still need to take at least 24 credits in each of your remaining semesters otherwise you might need to apply for under-loading. For your last semester in the programme, it is possible that your outstanding credits might be fewer than 24 credits."
24,"Can I take introductory courses, for example, pre-requisite courses for a major or minor, in the second or following years of studies, even in my final year?","Theoretically yes. However, for some programmes, such as BSocSc, students are not allowed to take introductory courses in their final year. Please check with your home Faculty if in doubt."
