,Subject Domain,Top K Keywords
0,Computer Science,"[('python', 0.4429), ('javascript', 0.3521), ('biolog', 0.347), ('librarianship', 0.3227), ('math', 0.3208), ('teacher', 0.3187), ('hacker', 0.3149), ('phd', 0.2787), ('freshman', 0.2723), ('facebook', 0.1663)]"
1,Biomedical Sciences,"[('biotechnolog', 0.6446), ('biochemistry', 0.6398), ('bioinformat', 0.6006), ('biochemistrythermodynam', 0.5909), ('bioc1600', 0.5533), ('biology', 0.4987), ('ultracentrifug', 0.4334), ('cancer', 0.4019), ('triacylglycerol', 0.3623), ('chicken', 0.2307)]"
2,Biological Sciences,"[('biotechnologypract', 0.5221), ('biochemistry', 0.4034), ('virology19', 0.3971), ('herpesviruses15', 0.3906), ('ecophysiolog', 0.3804), ('micronutrientsnutrit', 0.3448), ('yogurt', 0.3356), ('ovarian', 0.3225), ('hyperhomocysteinemia', 0.3218), ('zooplankton', 0.2772)]"
3,English,"[('presentationstud', 0.6183), ('examin', 0.5725), ('bibliographi', 0.5531), ('audienc', 0.5322), ('analyt', 0.5145), ('mathemat', 0.5135), ('grammar', 0.5115), ('organ', 0.4638), ('technic', 0.4476), ('success', 0.4291)]"
4,Chemistry,"[('chem1042', 0.4485), ('hour', 0.4073), ('august', 0.3823), ('thermodynamicsheat', 0.3713), ('trigonometri', 0.3683), ('spectrometri', 0.3554), ('lanthanid', 0.3349), ('biotechnolog', 0.3064), ('atmospher', 0.2694), ('beer', 0.2434)]"
5,Chinese,"[('email', 0.3805), ('techniqu', 0.306), ('linguist', 0.3022), ('student', 0.2618), ('grammar', 0.2481), ('write', 0.2349), ('brochur', 0.2136), ('new', 0.1602), ('master', 0.0967), ('resent', 0.0811)]"
6,Earth Sciences,"[('geotechn', 0.6321), ('paleoproterozo', 0.5872), ('technologyglob', 0.5849), ('biolog', 0.5552), ('planetolog', 0.55), ('oceanograph', 0.5), ('horticultur', 0.4954), ('biomassmanag', 0.4897), ('atmospher', 0.3593), ('taiwan', 0.3468)]"
7,Mathematics,"[('math3943', 0.5118), ('riemannian', 0.4964), ('combinator', 0.4557), ('cryptographi', 0.4434), ('math2012', 0.4319), ('biolog', 0.4199), ('python', 0.4002), ('integration10', 0.3969), ('seminar', 0.345), ('surfac', 0.2646)]"
8,Physics,"[('cosmolog', 0.5392), ('biophys', 0.4803), ('calculus', 0.4259), ('python', 0.4174), ('math1011', 0.4156), ('atmospher', 0.3981), ('galaxi', 0.3915), ('veterinari', 0.3878), ('blackbodi', 0.3237), ('cookbook', 0.2964)]"
9,Faculty,"[('entrepreneurship', 0.4537), ('biotechnolog', 0.3862), ('startup', 0.36), ('seminar', 0.3386), ('teamwork', 0.3224), ('cosmolog', 0.2523), ('microsoft', 0.209), ('mathematics', 0.1632), ('stage', 0.145), ('german', 0.0978)]"
10,Statistics & Actuarial Science,"[('seminar', 0.5212), ('biolog', 0.4938), ('philosophi', 0.4796), ('combinator', 0.4715), ('backtest', 0.4414), ('calculus', 0.4392), ('periodogram', 0.4333), ('creditportfolioview', 0.4266), ('improv', 0.3936), ('stat2601', 0.3853)]"
11,Biology,"[('biotechnolog', 0.6433), ('microbiolog', 0.6262), ('ecolog', 0.5808), ('pharmacodynam', 0.5219), ('carbohydr', 0.5065), ('hydrolog', 0.482), ('entrepreneurship', 0.411), ('veterinarian', 0.4029), ('seminar', 0.3974), ('gastrointestin', 0.3552)]"
12,Nutritional Science,"[('foodborn', 0.5354), ('foodservic', 0.5248), ('carbohydr', 0.3879), ('biochemistri', 0.3709), ('cafe', 0.3679), ('agricultur', 0.3457), ('wine', 0.3412), ('cholesterol', 0.3211), ('420', 0.2329), ('train', 0.1669)]"
