,Course Code,Course Title,Course Description,Learning Outcomes
0,COMP1117A,"Computer Programming (ActSc, AppAI, DA, IS, Minor & 2nd Major)","This is an introductory course in computer programming. Students will acquire basic Python programming skills, including syntax, identifiers, control statements, functions, recursions, strings, lists, dictionaries, tuples and files. Searching and sorting algorithms, such as sequential search, binary search, bubble sort, insertion sort and selection sort, will also be covered. ",[Computational mind]  Able to identify possible solutions for problems based on computer programs.; [Program implementation]  Able to implement solutions for problems using Python; [Program comprehension]  Able to understand programs written by others and participate in larger scale system implementation.
1,COMP1117B,"Computer Programming (Quant Fin, DA, Minor, 2nd Major)","This is an introductory course in computer programming. Students will acquire basic Python programming skills, including syntax, identifiers, control statements, functions, recursions, strings, lists, dictionaries, tuples and files. Searching and sorting algorithms, such as sequential search, binary search, bubble sort, insertion sort and selection sort, will also be covered. ",[Computational mind]  Able to identify possible solutions for problems based on computer programs.; [Program implementation]  Able to implement solutions for problems using Python; [Program comprehension]  Able to understand programs written by others and participate in larger scale system implementation.
2,ENGG1330A,Computer Programming I (A1 - M2),"This is an introductory course designed for first-year engineering students to learn about computer programming. Students will acquire basic Python programming skills, including syntax, identifiers, control statements, functions, recursions, strings, lists, dictionaries, tuples and files. Searching and sorting algorithms, such as sequential search, binary search, bubble sort, insertion sort and selection sort, will also be covered. ",[Computational mind] Able to identify possible solutions for problems based on computer programs; [Program implementation] Able to implement solutions for problems using Python; [Program comprehension] Able to understand programs written by others and participate in larger scale system implementation
3,ENGG1340A,Computer Programming II,"This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control.  This is a self-learning course; there will be no lecture and students will be provided with self-study materials.  Students are required to complete milestone-based self-assessment tasks during the course.  This course is designed for students who are interested in Computer Science / Computer Engineering.","[Programming environment and technologies] Able to work comfortably on the Linux platform and utilize its basic functionalities for program development.; [Problem solving and program implementation] Able to understand and analyse a problem and implement appropriate solutions correctly using C/C++. Able to utilize debuggers and techniques like separate compilation, make files and version control to simplify and manage the program development process.; [Advanced programming techniques] Be able to understand and apply the principles of advanced programming techniques including recursion, dynamic memory management, STL, data structures and algorithms.; [Self learning] Be able to self-learn various programming techniques effectively."
4,ENGG1340B,Computer Programming II,"This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control.  This is a self-learning course; there will be no lecture and students will be provided with self-study materials.  Students are required to complete milestone-based self-assessment tasks during the course.  This course is designed for students who are interested in Computer Science / Computer Engineering.","[Programming environment and technologies] Able to work comfortably on the Linux platform and utilize its basic functionalities for program development.; [Problem solving and program implementation] Able to understand and analyse a problem and implement appropriate solutions correctly using C/C++. Able to utilize debuggers and techniques like separate compilation, make files and version control to simplify and manage the program development process.; [Advanced programming techniques] Be able to understand and apply the principles of advanced programming techniques including recursion, dynamic memory management, STL, data structures and algorithms.; [Self learning] Be able to self-learn various programming techniques effectively."
5,ENGG1340C,Computer Programming II,"This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control.  This is a self-learning course; there will be no lecture and students will be provided with self-study materials.  Students are required to complete milestone-based self-assessment tasks during the course.  This course is designed for students who are interested in Computer Science / Computer Engineering.","[Programming environment and technologies] Able to work comfortably on the Linux platform and utilize its basic functionalities for program development.; [Problem solving and program implementation] Able to understand and analyse a problem and implement appropriate solutions correctly using C/C++. Able to utilize debuggers and techniques like separate compilation, make files and version control to simplify and manage the program development process.; [Advanced programming techniques] Be able to understand and apply the principles of advanced programming techniques including recursion, dynamic memory management, STL, data structures and algorithms.; [Self learning] Be able to self-learn various programming techniques effectively."
6,FITE1010,Introduction to Financial Technologies,"This course introduces the basic concepts of financial technologies, including money and payment, digital finance and alternative finance. Major technological trends, such as e-payment system, cryptocurrency, blockchain, data mining and artificial intelligence, are introduced. Students are expected to understand recent FinTech developments and its impact in the financial industries.","[Foundation] Develop a broad understanding of the recent FinTech development and analyze their impact on the financial services industries.; [Technologies] Understand the technologies trends, such as artificial intelligence, blockchain and data mining.; [Design] Understand the basic principles of designing financial applications with technologies, such as e-payment and robo-advising.; [Application] Understand alternative finance, such as cloudfunding and P2P lending, and assess their impact on traditional banking."
7,FITE2000A,Foundations of FinTech Programming,"This course introduces concepts and applications of basic data structures. Commonly used data structures, which include stacks and queues, trees, lists, arrays and graphs, will be discussed. Basic algorithms, both recursive and non-recursive, to manipulate these data structures will also be discussed.Basic object-oriented programming principles, which are abstraction, encapsulation, inheritance and polymorphism, will be introduced. The practical work of the course will use an object-oriented programming language and corresponding data structure library. Students will be required to apply the data structures to solve practical and/or FinTech problems.",[Basic data structures] To learn and appreciate the importance and merits of basic data structures; [Applying data structures] Able to select and apply appropriate data structures to solve practical problems; [Object-oriented Programming] Be able to understand better the object-oriented approach in programming. Students should be able to analyze and design a computer program to solve real world problems based on object-oriented principles.; [Object Oriented Programming Language and data structures library] Be able to write computer programs to solve real world problems using object oriented programming language and data structures library
8,STAT1005,Essential skills for undergraduates: Foundations of Data Science,,
9,COMP2113A,Programming Technologies,"This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control.  This is a self-learning course; there will be no lecture and students will be provided with self-study materials.  Students are required to complete milestone-based self-assessment tasks during the course.  This course is designed for students who are interested in Computer Science / Computer Engineering.","[Programming environment and technologies] Able to work comfortably on the Linux platform and utilize its basic functionalities for program development.; [Problem solving and program implementation] Able to understand and analyse a problem and implement appropriate solutions correctly using C/C++. Able to utilize debuggers and techniques like separate compilation, make files and version control to simplify and manage the program development process.; [Advanced programming techniques] Be able to understand and apply the principles of advanced programming techniques including recursion, dynamic memory management, STL, data structures and algorithms.; [Self learning] Be able to self-learn various programming techniques effectively."
