,Course Description,Subject Domain
0,"This is an introductory course in computer programming. Students will acquire basic Python programming skills, including syntax, identifiers, control statements, functions, recursions, strings, lists, dictionaries, tuples and files. Searching and sorting algorithms, such as sequential search, binary search, bubble sort, insertion sort and selection sort, will also be covered. ",Computer Science
1,"This is an introductory course designed for first-year engineering students to learn about computer programming. Students will acquire basic Python programming skills, including syntax, identifiers, control statements, functions, recursions, strings, lists, dictionaries, tuples and files. Searching and sorting algorithms, such as sequential search, binary search, bubble sort, insertion sort and selection sort, will also be covered. ",Computer Science
2,"This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control.  This is a self-learning course; there will be no lecture and students will be provided with self-study materials.  Students are required to complete milestone-based self-assessment tasks during the course.  This course is designed for students who are interested in Computer Science / Computer Engineering.",Computer Science
3,"This course introduces the basic concepts of financial technologies, including money and payment, digital finance and alternative finance. Major technological trends, such as e-payment system, cryptocurrency, blockchain, data mining and artificial intelligence, are introduced. Students are expected to understand recent FinTech developments and its impact in the financial industries.",Computer Science
4,"This course introduces concepts and applications of basic data structures. Commonly used data structures, which include stacks and queues, trees, lists, arrays and graphs, will be discussed. Basic algorithms, both recursive and non-recursive, to manipulate these data structures will also be discussed.Basic object-oriented programming principles, which are abstraction, encapsulation, inheritance and polymorphism, will be introduced. The practical work of the course will use an object-oriented programming language and corresponding data structure library. Students will be required to apply the data structures to solve practical and/or FinTech problems.",Computer Science
5,"Arrays, linked lists, trees and graphs; stacks and queues; symbol tables; priority queues, balanced trees; sorting algorithms; complexity analysis.",Computer Science
6,"To introduce the hardware organization of computers, and detailed operations of computers through assembly language programming.Introduction to computer organization and architecture; data representations; instruction sets; machine and assembly languages; basic logic design and integrated devices; the central processing unit and its control; memory and caches; I/O and storage systems; computer arithmetic.",Computer Science
7,"This course provides students a solid background on discrete mathematics and structures pertinent to computer science. Topics include logic; set theory; mathematical reasoning; counting techniques; discrete probability; trees, graphs, and related algorithms; modeling computation.",Computer Science
8,Introduction to object-oriented programming; abstract data types and classes; inheritance and polymorphism; object-oriented program design; Java language and its program development environment; user interfaces and GUI programming; collection class and iteration protocol; program documentation.,Computer Science
9,"This course introduces basic theories of blockchain and distributed ledger, which includes basic cryptography, public key cryptosystem, distributed computing and consensus protocols. Financial applications of blockchain and distributed ledger will be discussed.",Computer Science
10,"Operating system structures, process and thread, CPU scheduling, process synchronization, deadlocks, memory management, file systems, I/O systems and device driver, mass-storage structure and disk scheduling, case studies.",Computer Science
11,Network structure and architecture; reference models; stop and wait protocol; sliding window protocols; virtual circuits and datagrams; IP addressing and routing; flow control; congestion control; local area networks; transport protocols and application layer; and examples of network protocols.,Computer Science
12,"The course introduces various algorithm design techniques, including divide and conquer, greedy, and dynamic programming, and studies selected topics on graph algorithms. These techniques can be used to design better algorithms in various areas of computer science. The course also gives an overview of NP-complete problems.",Computer Science
13,"The course studies principles of algorithm design and the analysis of sophisticated algorithms (regarding proof of correctness and time complexity). Topics include divide-and-conquer, dynamic programming, greedy algorithms, graph algorithms, network flow, geometric algorithms, and NP-completeness.  The course puts emphasis on mathematical rigor; it expects students to figure out the mathematics and logic that make algorithms work.  Students can form pairs to discuss the assignments and are required to write rigorous proofs of correctness and analysis independently.",Computer Science
14,"This course studies the principles, design, administration, and implementation of database management systems.  Topics include: entity-relationship model, relational model, relational algebra, database design and normalization, database query languages, indexing schemes, integrity and concurrency control.",Computer Science
15,"This course introduces the fundamental principles, methodologies and practices of modern software engineering. It covers the software process, and development activities including requirements engineering, software design, testing, deployment and evolution. The course emphasizes the use of contemporary tools, frameworks and techniques. It features a complete agile development project in which students work in teams to engineer and cloud-deploy a software service to satisfy their clients’ needs.",Computer Science
16,"The course consists of two components: internship and professionalism. Internship requires students to spend a minimum of four weeks employed, full-time, as IT interns or trainees. During this period, they are engaged in work of direct relevance to their programme of study. The Internship provides students with practical, real-world experience and represents a valuable complement to their academic training. Professionalism exposes students to social and professional issues in computing. Students need to understand their professional roles when working as computer professionals as well as the responsibility that they will bear. They also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Topics include social context of computing, risks, safety and security concerns for computer professionals, professional and ethical responsibilities, and continuing professional development.",Computer Science
17,"Student individuals or groups, during the final year of their studies, undertake full end-toend development of a substantial project, taking it from initial concept through to final delivery. Topics range from applied software development to assignments on basic research. In case of a team project, significant contribution is required from each member and students are assessed individually, such that each student is given a separate project title. Strict standards of quality will be enforced throughout the project development.",Computer Science
18,"Students during the final year of their studies undertake a substantial project, taking it from initial concept through to final delivery, and integrating their knowledge and skills on computing.",Computer Science
19,"Student individuals or groups, during the final year of their studies, undertake full end-to-end development of a substantial project, taking it from initial concept through to final delivery. The project will be the application of technology to finance discipline.",Computer Science
