,Course Title,Course Description,Subject Domain,Course Code
0,ABE Principles: Biological,"Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design.",Biology,ABE141
1,Water in the Global Environment,"This course develops a comprehensive understanding and appreciation of water and its impact in a global context. The course emphasizes cultural practices associated with water and its use, especially for regions in non-western cultures. Students will develop critical knowledge of: 1) water availability, water quality, and global challenges; 2) historical perspectives of water use; 3) past, present, and future environmental sustainability in relation to water, food, and energy; and 4) conduct analysis of cultural practices and their sustainability based on water in a global context. Students attend 3-4 field trips related to the course.",Biology,ABE152
2,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,Biology,ABE199
3,ABE Principles: Bioenvironment,"Principles of environmental control for biological structures: psychrometrics; mass and heat transfer through buildings; ventilation requirements. Prerequisite: One of MATH 220, MATH 221, MATH 234.",Biology,ABE225
4,ABE Principles: Bioprocessing,"Principles of bioprocess engineering applied to food and agricultural products: material balances; fluid flow; heat and mass transfers; drying; evaporation; fermentation; distillation; process simulation. Prerequisite: One of MATH 220, MATH 221, MATH 234.",Biology,ABE226
5,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",Biology,ABE397
6,Engrg Measurement Systems,"Principles of instrumentation systems, including sensing, signal conditioning, computerized data acquisition, test design, data analysis and synthesis. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 425 and ME 360. Prerequisite: ECE 205.",Biology,ABE425
7,Engineering for Disaster Resilience,"A project-based experience designed to engage students in development of resilient food, energy, and water supply chains designs for disaster-prone regions. Students will investigate background factors that provide context for specific disaster-prone regions and viable design solutions. Students will quantify expected engineering reliability to potential solutions. Students will work with local communities, aid organizations, and peer institutions when identifying resilient designs, eventually seeking pathways to implement solutions with partner communities. 3 undergraduate hours. 4 graduate hours. May be repeated one time by undergraduate students if the term project differs from previous term, up to total credit of 6 hr for undergraduate students.",Biology,ABE452
8,Environmental Soil Physics,"Provides the theoretical basis for understanding and quantifying the physical, hydrological, geotechnical, and thermal properties of soil in relation to environmental processes. Topics include general soil properties as a porous media, particle size, soil structure and aggregation, water retention and potential, flow in saturated soil, flow in an unsaturated soil, soil temperature and heat flow, soil mechanics, infiltration, and soil-plant-water relations. 3 undergraduate hours. 3 graduate hours. Prerequisite: TAM 335 or NRES 201 or consent of instructor.",Biology,ABE454
9,Land &amp; Water Resources Engrg,"Hydrology, hydraulics, design, construction and cost estimating of structures for the conservation and quality control of soil and water resources; relationship of topography, soils, crops, climate, and cultural practices in conservation and quality control of soil and water for agriculture. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.",Biology,ABE456
