,user_email,user_level_index,user_query,result,rating,precision_count,chatbox_sex,recommender_rec_type,actual_string
0,sudairi,1,courses computer AI,"['COMP2396B: Object-oriented Programming and Java', 'COMP2396A: Object-oriented Programming and Java (CS)', 'COMP3270A: Artificial Intelligence', 'COMP3270B: Artificial Intelligence', 'COMP2120A: Computer Organization (CS)']",5.0,5.0,male,course,courses computer AI; ; 
1,fee,4,number theory,"['COMP2121A: Discrete Mathematics (CS)', 'COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)', 'COMP2121B: Discrete Mathematics (CS, CE, IS)', 'PHYS2155: Methods in physics II', 'PHYS2150: Methods in physics I']",3.0,0.0,male,course,number theory; ; math
2,Max,1,biology,"['CHEM4444: Chemical biology', 'BIOL4963: Molecular biology & biotechnology internship', 'BIOC4613: Advanced techniques in biochemistry & molecular biology', 'BIOL3506: Evolutionary biology', 'BIOL1110: From molecules to cells']",4.0,4.0,female,course,biology; ; 
3,kiki,1,molecular biology,"['CHEM4444: Chemical biology', 'CHEM4542: Computational chemistry', 'BIOC2600: Basic biochemistry', 'BIOL1110: From molecules to cells', 'BIOL4963: Molecular biology & biotechnology internship']",5.0,4.0,female,course,molecular biology; ; 
4,0001,1,food and nutrition ,"['BIOL1201: Introduction to food and nutrition', 'BIOL4209: Functional foods', 'BIOL3608: Food commodities', 'BIOL3203: Food microbiology', 'BIOL4962: Food & nutritional science internship']",4.0,4.0,female,course,food and nutrition ; ; 
5,0003,1,atmospheric science,"['SCNC1112: Fundamentals of modern science', 'EASC3415: Meteorology', 'EASC2404: Introduction to atmosphere and hydrosphere', 'EASC1020: Introduction to climate science', 'ENVS1301: Environmental life science']",3.0,3.0,female,course,atmospheric science; ; 
6,0004,2,inorganic chemistry,"['CHEM4341: Advanced inorganic chemistry', 'CHEM2442: Fundamentals of organic chemistry', 'CHEM4444: Chemical biology', 'CHEM4142: Symmetry, group theory and applications', 'CHEM4542: Computational chemistry']",4.0,3.0,male,course,inorganic chemistry; ; 
7,0005,1,astronomy,"['SCNC1112: Fundamentals of modern science', 'PHYS3850: Physical Optics', 'PHYS4655: Interstellar medium', 'BIOL4963: Molecular biology & biotechnology internship', 'PHYS3750: Foundations of laser and spectroscopy']",4.0,4.0,male,course,astronomy; ; 
8,0006,1,i desire biology,"['BIOL4963: Molecular biology & biotechnology internship', 'CHEM4444: Chemical biology', 'SCNC1112: Fundamentals of modern science', 'BIOL1110: From molecules to cells', 'ENVS1301: Environmental life science']",5.0,5.0,female,course,i desire biology; ; 
9,0007,2,food toxicology,"['BIOL3203: Food microbiology', 'CHEM3242: Food and water analysis', 'BIOL1201: Introduction to food and nutrition', 'BIOL4209: Functional foods', 'BIOL3209: Food and nutrient analysis']",5.0,5.0,male,course,food toxicology; ; 
10,0008,2,AI,"['COMP3234B: Computer and Communication Networks (CS)', 'COMP3234A: Computer and Communication Networks', 'STAT2604: Introduction to R/Python programming and elementary data analysis', 'COMP2396B: Object-oriented Programming and Java', 'COMP2396A: Object-oriented Programming and Java (CS)']",5.0,5.0,female,course,CS requirements; ; 
