,user_email,actual_string,result,rating
0,sudairi,courses computer AI,COMP2396B: Object-oriented Programming and Java,3
1,sudairi,courses computer AI,COMP2396A: Object-oriented Programming and Java (CS),3
2,sudairi,courses computer AI,COMP3270A: Artificial Intelligence,5
3,sudairi,courses computer AI,COMP3270B: Artificial Intelligence,5
4,sudairi,courses computer AI,COMP2120A: Computer Organization (CS),3
5,fee,number theory; ; math,COMP2121A: Discrete Mathematics (CS),4
6,fee,number theory; ; math,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",4
7,fee,number theory; ; math,"COMP2121B: Discrete Mathematics (CS, CE, IS)",4
8,fee,number theory; ; math,PHYS2155: Methods in physics II,1
9,fee,number theory; ; math,PHYS2150: Methods in physics I,1
10,Max,biology,CHEM4444: Chemical biology,4
11,Max,biology,BIOL4963: Molecular biology & biotechnology internship,5
12,Max,biology,BIOC4613: Advanced techniques in biochemistry & molecular biology,5
13,Max,biology,BIOL3506: Evolutionary biology,5
14,Max,biology,BIOL1110: From molecules to cells,5
15,kiki,molecular biology,CHEM4444: Chemical biology,3
16,kiki,molecular biology,CHEM4542: Computational chemistry,3
17,kiki,molecular biology,BIOC2600: Basic biochemistry,3
18,kiki,molecular biology,BIOL1110: From molecules to cells,5
19,kiki,molecular biology,BIOL4963: Molecular biology & biotechnology internship,5
20,1,food and nutrition,BIOL1201: Introduction to food and nutrition,5
21,1,food and nutrition,BIOL4209: Functional foods,4
22,1,food and nutrition,BIOL3608: Food commodities,5
23,1,food and nutrition,BIOL3203: Food microbiology,4
24,1,food and nutrition,BIOL4962: Food & nutritional science internship,5
25,3,atmospheric science,SCNC1112: Fundamentals of modern science,3
26,3,atmospheric science,EASC3415: Meteorology,4
27,3,atmospheric science,EASC2404: Introduction to atmosphere and hydrosphere,4
28,3,atmospheric science,EASC1020: Introduction to climate science,3
29,3,atmospheric science,ENVS1301: Environmental life science,2
30,4,inorganic chemistry,CHEM4341: Advanced inorganic chemistry,5
31,4,inorganic chemistry,CHEM2442: Fundamentals of organic chemistry,1
32,4,inorganic chemistry,CHEM4444: Chemical biology,2
33,4,inorganic chemistry,"CHEM4142: Symmetry, group theory and applications",2
34,4,inorganic chemistry,CHEM4542: Computational chemistry,3
35,5,astronomy,SCNC1112: Fundamentals of modern science,3
36,5,astronomy,PHYS3850: Physical Optics,4
37,5,astronomy,PHYS4655: Interstellar medium,5
38,5,astronomy,BIOL4963: Molecular biology & biotechnology internship,2
39,5,astronomy,PHYS3750: Foundations of laser and spectroscopy,3
40,6,i desire biology,BIOL4963: Molecular biology & biotechnology internship,5
41,6,i desire biology,CHEM4444: Chemical biology,5
42,6,i desire biology,SCNC1112: Fundamentals of modern science,5
43,6,i desire biology,BIOL1110: From molecules to cells,5
44,6,i desire biology,ENVS1301: Environmental life science,4
45,7,food toxicology,BIOL3203: Food microbiology,5
46,7,food toxicology,CHEM3242: Food and water analysis,4
47,7,food toxicology,BIOL1201: Introduction to food and nutrition,4
48,7,food toxicology,BIOL4209: Functional foods,5
49,7,food toxicology,BIOL3209: Food and nutrient analysis,5
50,8,CS requirements,COMP3234B: Computer and Communication Networks (CS),3
51,8,CS requirements,COMP3234A: Computer and Communication Networks,3
52,8,CS requirements,STAT2604: Introduction to R/Python programming and elementary data analysis,5
53,8,CS requirements,COMP2396B: Object-oriented Programming and Java,4
54,8,CS requirements,COMP2396A: Object-oriented Programming and Java (CS),4
55,9,fintech,ENTR3002: Customer analysis and strategic marketing,3
56,9,fintech,FITE3010: Big Data and Data Mining,4
57,9,fintech,COMP3322A: Modern Technologies on World Wide Web,3
58,9,fintech,COMP3322B: Modern Technologies on World Wide Web,3
59,9,fintech,COMP3297A: Software Engineering (CS),3
60,10,investment,STAT2902: Financial mathematics,4
61,10,investment,STAT3615: Practical mathematics for investment,4
62,10,investment,ENTR3002: Customer analysis and strategic marketing,3
63,10,investment,STAT3618: Derivatives and risk management,4
64,10,investment,ENTR3001: Science-based innovation development,3
65,11,physics,CHEM4542: Computational chemistry,2
66,11,physics,PHYS2155: Methods in physics II,3
67,11,physics,PHYS1240: Physics by inquiry,3
68,11,physics,PHYS2150: Methods in physics I,3
69,11,physics,PHYS3850: Physical Optics,3
70,12,statistics and programming like R language and python,COMP3259: Principles of Programming Languages,4
71,12,statistics and programming like R language and python,COMP2396B: Object-oriented Programming and Java,4
72,12,statistics and programming like R language and python,COMP2396A: Object-oriented Programming and Java (CS),3
73,12,statistics and programming like R language and python,STAT2604: Introduction to R/Python programming and elementary data analysis,5
74,12,statistics and programming like R language and python,COMP2502: Computing Fundamentals (Minor in DS&E only),3
75,13,astronomy and planets. maybe also something related to theoretical physics,PHYS4655: Interstellar medium,4
76,13,astronomy and planets. maybe also something related to theoretical physics,PHYS1240: Physics by inquiry,4
77,13,astronomy and planets. maybe also something related to theoretical physics,SCNC1112: Fundamentals of modern science,4
78,13,astronomy and planets. maybe also something related to theoretical physics,"CHEM4142: Symmetry, group theory and applications",2
79,13,astronomy and planets. maybe also something related to theoretical physics,PHYS2155: Methods in physics II,4
80,14,"java and object oriented programming, software engineering",COMP2396B: Object-oriented Programming and Java,5
81,14,"java and object oriented programming, software engineering",COMP2396A: Object-oriented Programming and Java (CS),5
82,14,"java and object oriented programming, software engineering",COMP3297A: Software Engineering (CS),5
83,14,"java and object oriented programming, software engineering","COMP3297B: Software Engineering (CE, IS, 2nd Major)",5
84,14,"java and object oriented programming, software engineering",COMP3330: Interactive Mobile Application Design and Programming,5
85,15,"astronomy, quantum physics, and probability",COMP3366: Quantum Algorithms and Computer Architecture,5
86,15,"astronomy, quantum physics, and probability",CHEM4542: Computational chemistry,3
87,15,"astronomy, quantum physics, and probability",PHYS2155: Methods in physics II,5
88,15,"astronomy, quantum physics, and probability",PHYS3850: Physical Optics,5
89,15,"astronomy, quantum physics, and probability","CHEM4142: Symmetry, group theory and applications",5
90,16,food nutrition and health,BIOL1201: Introduction to food and nutrition,5
91,16,food nutrition and health,BIOL4209: Functional foods,5
92,16,food nutrition and health,BIOL3608: Food commodities,4
93,16,food nutrition and health,BIOL4962: Food & nutritional science internship,4
94,16,food nutrition and health,BIOL3203: Food microbiology,4
95,17,i want to know more about courses that are related to math and statistic,MATH1009: Basic mathematics for business and economics,4
96,17,i want to know more about courses that are related to math and statistic,STAT4767: Actuarial science internship,4
97,17,i want to know more about courses that are related to math and statistic,PHYS1240: Physics by inquiry,2
98,17,i want to know more about courses that are related to math and statistic,BIOL4962: Food & nutritional science internship,2
99,17,i want to know more about courses that are related to math and statistic,MATH3999: Directed studies in mathematics,4
100,19,course,STAT4767: Actuarial science internship,1
101,19,course,MATH3999: Directed studies in mathematics,2
102,19,course,CHEM3999: Directed studies in chemistry,3
103,19,course,PHYS1240: Physics by inquiry,4
104,19,course,ENVS3999: Directed studies in environmental science,2
105,24,course,STAT4767: Actuarial science internship,1
106,24,course,MATH3999: Directed studies in mathematics,1
107,24,course,CHEM3999: Directed studies in chemistry,2
108,24,course,PHYS1240: Physics by inquiry,2
109,24,course,ENVS3999: Directed studies in environmental science,2
110,27,deep learning,PHYS3151: Machine learning in physics,3
111,27,deep learning,BIOL4861: Ecology & biodiversity internship,2
112,27,deep learning,EASC1401: Blue Planet,1
113,27,deep learning,ENTR2001: Professional and leadership development,1
114,27,deep learning,EASC4966: Earth sciences internship,1
115,28,physics like biology and homeopathy,CHEM4444: Chemical biology,3
116,28,physics like biology and homeopathy,SCNC1112: Fundamentals of modern science,4
117,28,physics like biology and homeopathy,CHEM4542: Computational chemistry,3
118,28,physics like biology and homeopathy,BIOC4613: Advanced techniques in biochemistry & molecular biology,5
