,user_email,user_level_index,user_query,result,rating,precision_count,chatbox_sex,recommender_rec_type,actual_string,overall_rating
0,sudairi,1,courses computer AI,COMP2396B: Object-oriented Programming and Java,3,5,male,course,courses computer AI; ; ,5
0,sudairi,1,courses computer AI,COMP2396A: Object-oriented Programming and Java (CS),3,5,male,course,courses computer AI; ; ,5
0,sudairi,1,courses computer AI,COMP3270A: Artificial Intelligence,5,5,male,course,courses computer AI; ; ,5
0,sudairi,1,courses computer AI,COMP3270B: Artificial Intelligence,5,5,male,course,courses computer AI; ; ,5
0,sudairi,1,courses computer AI,COMP2120A: Computer Organization (CS),3,5,male,course,courses computer AI; ; ,5
1,fee,4,number theory,COMP2121A: Discrete Mathematics (CS),4,0,male,course,number theory; ; math,3
1,fee,4,number theory,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",4,0,male,course,number theory; ; math,3
1,fee,4,number theory,"COMP2121B: Discrete Mathematics (CS, CE, IS)",4,0,male,course,number theory; ; math,3
1,fee,4,number theory,PHYS2155: Methods in physics II,1,0,male,course,number theory; ; math,3
1,fee,4,number theory,PHYS2150: Methods in physics I,1,0,male,course,number theory; ; math,3
2,Max,1,biology,CHEM4444: Chemical biology,4,4,female,course,biology; ; ,4
2,Max,1,biology,BIOL4963: Molecular biology & biotechnology internship,5,4,female,course,biology; ; ,4
2,Max,1,biology,BIOC4613: Advanced techniques in biochemistry & molecular biology,5,4,female,course,biology; ; ,4
2,Max,1,biology,BIOL3506: Evolutionary biology,5,4,female,course,biology; ; ,4
2,Max,1,biology,BIOL1110: From molecules to cells,5,4,female,course,biology; ; ,4
3,kiki,1,molecular biology,CHEM4444: Chemical biology,3,4,female,course,molecular biology; ; ,5
3,kiki,1,molecular biology,CHEM4542: Computational chemistry,3,4,female,course,molecular biology; ; ,5
3,kiki,1,molecular biology,BIOC2600: Basic biochemistry,3,4,female,course,molecular biology; ; ,5
3,kiki,1,molecular biology,BIOL1110: From molecules to cells,5,4,female,course,molecular biology; ; ,5
3,kiki,1,molecular biology,BIOL4963: Molecular biology & biotechnology internship,5,4,female,course,molecular biology; ; ,5
4,1,1,food and nutrition ,BIOL1201: Introduction to food and nutrition,5,4,female,course,food and nutrition ; ; ,4
4,1,1,food and nutrition ,BIOL4209: Functional foods,4,4,female,course,food and nutrition ; ; ,4
4,1,1,food and nutrition ,BIOL3608: Food commodities,5,4,female,course,food and nutrition ; ; ,4
4,1,1,food and nutrition ,BIOL3203: Food microbiology,4,4,female,course,food and nutrition ; ; ,4
4,1,1,food and nutrition ,BIOL4962: Food & nutritional science internship,5,4,female,course,food and nutrition ; ; ,4
5,3,1,atmospheric science,SCNC1112: Fundamentals of modern science,3,3,female,course,atmospheric science; ; ,3
5,3,1,atmospheric science,EASC3415: Meteorology,4,3,female,course,atmospheric science; ; ,3
5,3,1,atmospheric science,EASC2404: Introduction to atmosphere and hydrosphere,4,3,female,course,atmospheric science; ; ,3
5,3,1,atmospheric science,EASC1020: Introduction to climate science,3,3,female,course,atmospheric science; ; ,3
5,3,1,atmospheric science,ENVS1301: Environmental life science,2,3,female,course,atmospheric science; ; ,3
6,4,2,inorganic chemistry,CHEM4341: Advanced inorganic chemistry,5,3,male,course,inorganic chemistry; ; ,4
6,4,2,inorganic chemistry,CHEM2442: Fundamentals of organic chemistry,1,3,male,course,inorganic chemistry; ; ,4
6,4,2,inorganic chemistry,CHEM4444: Chemical biology,2,3,male,course,inorganic chemistry; ; ,4
6,4,2,inorganic chemistry,"CHEM4142: Symmetry, group theory and applications",2,3,male,course,inorganic chemistry; ; ,4
6,4,2,inorganic chemistry,CHEM4542: Computational chemistry,3,3,male,course,inorganic chemistry; ; ,4
7,5,1,astronomy,SCNC1112: Fundamentals of modern science,3,4,male,course,astronomy; ; ,4
7,5,1,astronomy,PHYS3850: Physical Optics,4,4,male,course,astronomy; ; ,4
7,5,1,astronomy,PHYS4655: Interstellar medium,5,4,male,course,astronomy; ; ,4
7,5,1,astronomy,BIOL4963: Molecular biology & biotechnology internship,2,4,male,course,astronomy; ; ,4
7,5,1,astronomy,PHYS3750: Foundations of laser and spectroscopy,3,4,male,course,astronomy; ; ,4
8,6,1,i desire biology,BIOL4963: Molecular biology & biotechnology internship,5,5,female,course,i desire biology; ; ,5
8,6,1,i desire biology,CHEM4444: Chemical biology,5,5,female,course,i desire biology; ; ,5
8,6,1,i desire biology,SCNC1112: Fundamentals of modern science,5,5,female,course,i desire biology; ; ,5
8,6,1,i desire biology,BIOL1110: From molecules to cells,5,5,female,course,i desire biology; ; ,5
8,6,1,i desire biology,ENVS1301: Environmental life science,4,5,female,course,i desire biology; ; ,5
9,7,2,food toxicology,BIOL3203: Food microbiology,5,5,male,course,food toxicology; ; ,5
9,7,2,food toxicology,CHEM3242: Food and water analysis,4,5,male,course,food toxicology; ; ,5
