,Subject Domain,Top K Keywords
0,Computer Science,"['data', 'student', 'cours comput program', 'information', 'design', 'model', 'includ', 'programs', 'learn', 'development', 'techniqu', 'algorithm', 'research', 'applic', 'process', 'processes', 'field quantum inform', 'network', 'topic variou technolog tool use softwar develop', 'project', 'prerequisit', 'librari', 'libraries', 'practices', 'profession', 'profess', 'languag', 'problem', 'graduat', 'cs', 'undergradu', 'practic work', 'manag', 'scienc', 'tools', 'credit', 'introduct', 'issu', 'theori', 'basic python', 'cover', 'introduc', 'experiment', 'control', 'social', 'provid', 'relat', 'visual commun', 'principl', 'complex analysi', 'evalu', 'access', 'advanc', 'knowledg', 'knowledge', 'machin', 'machine', 'select', 'secur', 'requir complet', 'method supervis', 'explor', 'major', 'case studi', 'function', 'implement databas', 'servic', 'distribut', 'collect', 'skill', 'discuss', 'concept financi', 'hour', 'structur', 'organ', 'need', 'present', 'offer', 'integr devic', 'expect understand recent', 'area', 'real experi', 'ethic', 'level', 'fundament', 'differ', 'materi', 'protocol', 'instruct set', 'context', 'code gener', 'memori', 'preserv', 'engin', 'interact', 'architectur', 'human', 'varieti', 'type class', 'scholarli', 'scholar', 'mathemat', 'instructor', 'test', 'activ', 'statist predict', 'appli', 'creat media', 'math', 'review', 'form', 'vari', 'histor', 'standard qualiti', 'game', 'approv', 'perform', 'anim', 'idea', 'dynam', 'subject', 'current', 'rang', 'regress', 'approach', 'assess', 'academ', 'final', 'public key', 'assign', 'framework', 'privaci', 'focu', 'optim', 'modern', 'term', 'search', 'theoret', 'commonli', 'common', 'address', 'solut', 'overview', 'non', 'focus', 'build', 'graph', 'linear', 'parallel', 'involv', 'analyz', 'object', 'examin', 'descript', 'logic', 'govern', 'government', 'recurs', 'identifi', 'opportun', 'intend', 'wide web', 'solv', 'abil', 'stat', 'digit financ', 'ece', 'construct', 'complexity', 'special', 'goal', 'bioinformat', 'write', 'role', 'multipl', 'read', 'reading', 'stand', 'perspect', 'task', 'literaci', 'literacy', 'high school', 'particip', 'plan', 'imag', 'foundat', 'lectur', 'intellectu', 'polici', 'robot', 'random', 'directli', 'cultur', 'specif', 'text', 'base', 'book', 'decis', 'd transform', 'aspect', 'represent', 'environ', 'educ', 'futur', 'individu', 'probabl', 'probability', 'state', 'institut', 'effect', 'center', 'critic', 'payment', 'impact', 'multi', 'support', 'copyright', 'physic', 'physically', 'direct relev', 'express', 'reduct', 'deep', 'self', 'enrol', 'addit', 'repeat', 'onlin', 'divid', 'divide', 'abstract', 'vision', 'import', 'intellig', 'emerg', 'attack', 'error', 'hands', 'seminar', 'maximum', 'tree', 'estim', 'strategi', 'retriev', 'iot', 'markov inequ', 'histori', 'openurl', 'harvest', 'concurr', 'numer', 'e', 'mean', 'simul', 'sequenc', 'emphasi', 'content', 'charact', 'character', 'processor', 'signific', 'time', 'neural', 'properti', 'methodolog', 'equat', 'variabl', 'print', 'cse', 'background', 'internet', 'schedul', 'highli recommend', 'user', 'respons', 'freedom', 'embed', 'increas', 'busi', 'emphas', 'document', 'archiv']"
1,Biomedical Sciences,"['protein', 'student', 'cours', 'molecular', 'biochemistri', 'biochemistry', 'basic', 'cell', 'biolog', 'biology', 'signal', 'scienc', 'metabol', 'gene', 'life', 'structur', 'experiment', 'experi', 'experiments', 'method', 'research', 'analysi', 'work', 'learn', 'use', 'cytoskeleton', 'studi skill', 'think', 'sequenc databas', 'develop', 'development', 'topic', 'understand', 'genet', 'acid', 'diseas', 'receptor', 'determin', 'pathway involv', 'supervisor', 'regul relat environment', 'dna', 'univers', 'knowledg', 'cover', 'major', 'function', 'kinas', 'direct', 'biochem', 'critic', 'activ', 'matrix', 'reson', 'enzym', 'scientif', 'write', 'provid foundat', 'environ', 'align', 'concept', 'basi', 'control', 'gain', 'chemistri biochemistryth', 'bioinformat tool', 'advanc', 'industri', 'aim', 'techniqu', 'specif', 'sort', 'school', 'intracellular', 'therapi', 'electron', 'genom', 'present', 'synthesi', 'appli', 'molecul', 'variou task', 'approach', 'member', 'tasks', 'includ']"
2,Biological Sciences,"['cours', 'biology', 'biological', 'process', 'environment impact', 'food safe', 'cell', 'cells', 'environ influenc', 'develop', 'understand', 'biolog issu', 'studies', 'study', 'scienc', 'science', 'genet', 'genetically', 'analysi', 'analysis', 'discuss', 'discussion', 'topic includ', 'product', 'production', 'enabl student integr basic concept', 'nutrit', 'field', 'fields', 'ecosystem', 'plant', 'topics', 'use basi', 'learn', 'techniqu', 'researcher', 'interact', 'interactions', 'interaction', 'commun', 'anim physiolog development', 'present ecolog', 'gene', 'genes', 'changes', 'metabol health', 'biodivers', 'biotechnolog', 'studi appli', 'metabolism', 'principl', 'marin', 'hormon', 'organ', 'organization', 'aim provid', 'applic', 'molecular', 'virus', 'viruses', 'technolog', 'technology', 'practic', 'introduc', 'human dietari requir', 'adapt', 'busi', 'natur', 'cycl regul', 'control', 'data', 'issue approach', 'experiment', 'experi', 'global', 'manag', 'diseas relationship', 'effect', 'effects', 'structur', 'high', 'design', 'importantli', 'genomes', 'genome', 'climat', 'climate', 'recent research result fundament chang', 'model select', 'statist', 'current', 'composit function properti major nutrient', 'method', 'methods', 'gener', 'variou', 'focu', 'medicine', 'skill knowledg', 'genom project import', 'reproduct', 'factor', 'overview', 'evolutionari', 'cover', 'role', 'water', 'methodologies', 'methodology', 'dna', 'form', 'qualiti', 'differ group', 'life', 'protein', 'selection', 'terrestri', 'introduct methodolog', 'industri', 'industry', 'hour', 'cultur', 'shore', 'diet relat', 'mechan particular', 'scientif', 'conserv', 'advanc', 'distribut', 'speci degrad habitat', 'coastal', 'class', 'histori', 'problem', 'problems', 'laboratori', 'sustain', 'intertid', 'microbi', 'aquacultur', 'relev', 'societi highli', 'assay', 'assays', 'evolut', 'evolution', 'affect', 'behaviour', 'work', 'involv', 'chemic', 'crop', 'crops', 'investig explor', 'sequenc', 'obtain resourc', 'main emphasi', 'lectur', 'growth', 'immun', 'immunity', 'appreci', 'acid', 'test', 'e', 'therapi futur medicin', 'emerg new', 'live', 'pathway', 'pathways', 'modern', 'exampl', 'common', 'rna isol', 'varieti hong kong', 'eia', 'oyster', 'viru', 'energi', 'case', 'supervisor', 'conduct', 'specif', 'context', 'special', 'agricultur', 'key', 'need', 'level', 'success', 'gain', 'body', 'bodi', 'econom', 'scale', 'measur', 'age', 'dissert', 'tropic', 'divers', 'preserv', 'safeti', 'safety', 'assess', 'biochem', 'aspect', 'program', 'programs', 'essenti', 'baltimor', 'analys', 'idea', 'mammal', 'collect', 'materi', 'chain', 'carri', 'pattern', 'transform', 'transformation', 'theori', 'theory', 'identif classif microb', 'axi', 'threat', 'term', 'stress', 'exposur', 'signal', 'non mutat', 'phase', 'popul', 'companies', 'compani', 'synthet', 'describ', 'mutations', 'healthi', 'observ microorgan', 'increas', 'time', 'drug', 'stem', 'compound', 'endocrin', 'ocean', 'examin', 'world', 'compon', 'univers', 'toxic', 'balanc', 'tool', 'determin', 'microbiolog', 'asia', 'question', 'geolog', 'teach', 'small', 'transgen', 'regener', 'regen', 'competit', 'stimul', 'prevent', 'lipid', 'explain', 'interpret', 'mani', 'sensori', 'pressur', 'benefit', 'taxonom', 'fish', 'avail', 'type', 'analyz', 'differenti', 'differentiation', 'blood', 'secret', 'cellular', 'social', 'produc', 'connect', 'receptor', 'action', 'south', 'virology', 'virolog', 'biotech', 'perspect', 'pollut', 'pollution', 'diseases', 'disease', 'ss', 'malaysia', 'vs', 'gut', 'sea', 'biochemistri', 'biochemistry', 'broad']"
3,English,"['student', 'scienc', 'learn', 'cours', 'present', 'languag', 'use appropri academ', 'mathemat statist', 'write', 'writing', 'analys', 'includ', 'commun skill disciplinari studi', 'audienc', 'case', 'develop']"
4,Chemistry,"['chemistry', 'chemistri equival', 'cours aim provid student', 'chemic bond structur', 'structure', 'analysi', 'analysis', 'instrument method', 'organ compound', 'reaction', 'reactions', 'theory', 'laboratory', 'energi', 'work', 'chem gener', 'spectroscopi', 'scienc', 'science', 'laboratori skill techniqu includ', 'molecular', 'metal', 'drug', 'solution', 'prerequisit', 'properti', 'studi', 'bonding', 'advanc', 'requir', 'hour', 'equilibrium', 'mechan', 'mechanisms', 'mechanics', 'experi', 'experiment', 'kinetic theori', 'research', 'credit', 'inorgan', 'use', 'applic', 'technolog', 'relev biolog materi', 'synthesi', 'electron', 'electronic', 'principle', 'topic', 'discuss', 'discussion', 'process', 'water', 'fundament principl concept', 'atom', 'understand', 'relat', 'molecul ion', 'practic knowledg', 'thermodynam', 'thermodynamics', 'group', 'area', 'kinet', 'develop', 'equilibria solut', 'analyt', 'natur project', 'industri', 'industry', 'foundat basic', 'character', 'charact', 'cover', 'physic state', 'gase', 'gases', 'undergradu', 'introduc', 'function', 'acid', 'acids', 'modern', 'present lectur', 'product', 'graduat', 'year', 'major', 'problem', 'quantum', 'addit', 'design', 'g', 'protein', 'chang', 'complex', 'approv', 'introduct', 'term', 'mixtur', 'mixtures', 'exampl', 'chromatographi', 'chromatography', 'supervisor', 'law', 'select', 'liquid', 'depart', 'department', 'mass', 'appli mathemat', 'school', 'prepar', 'organometal', 'food', 'element', 'type', 'sampl', 'emphas', 'supramolecular', 'matter', 'synthet', 'point', 'ioniz', 'spectrometri', 'time', 'literatur', 'literature', 'solubl', 'treatment', 'interfac', 'separ', 'standard', 'ga pressur', 'potenti measur', 'variou', 'plan', 'gain', 'environment', 'environ', 'integr', 'symmetri', 'symmetry', 'math', 'thesi', 'focus', 'reactiv', 'e', 'complet', 'continu', 'import', 'colloid', 'degre', 'enrol', 'orbit', 'high', 'activ', 'rate', 'set', 'phase', 'non', 'nutrit', 'special', 'solv', 'approach', 'solid', 'unit', 'determin', 'alcohol', 'equat', 'entropi', 'entropy', 'regist', 'enzym', 'surfac', 'profession', 'dynam', 'lead', 'spectroscop', 'calibr', 'synthes', 'diffract', 'level', 'nanomateri', 'colleg', 'college', 'linear', 'electrochem', 'second', 'medicin', 'medicine', 'direct', 'individu', 'member', 'nmr', 'relationship', 'infrar', 'transit', 'interactions', 'interact']"
5,Chinese,"['messag', 'student', 'write', 'techniqu', 'report', 'present', 'email', 'document', 'chines']"
6,Earth Sciences,"['student', 'environ', 'earth', 'geology manag', 'impact environment', 'includ', 'processes', 'cours provid introduct studi', 'rocks', 'natur', 'structur', 'structures', 'science', 'physic caus chang geolog time', 'resourc', 'climate', 'modern research method use', 'surfac process rock cycl', 'work', 'prerequisit', 'management', 'basic', 'basics', 'analysi', 'analysis', 'project', 'ecolog', 'understand', 'field trip', 'mineral', 'miner', 'minerals', 'global climat', 'soil', 'methods', 'ocean water', 'atmospher', 'life', 'cycles', 'cycle', 'explor', 'skill', 'skills', 'issu', 'data', 'tectonics', 'sustain suppli', 'experi', 'experiment', 'nre', 'origin', 'problem', 'energi', 'relation', 'relat', 'related', 'requir', 'scienc fundament knowledg divers', 'current', 'concept', 'metamorphism metamorph', 'properti', 'hour', 'model', 'pollut', 'introduc discuss follow topic', 'appli', 'present', 'chemic', 'evolut extinct', 'major', 'examin', 'examination', 'surface groundwat', 'undergradu', 'sedimentari', 'human interact', 'learn', 'format', 'approv', 'map', 'design', 'weeks', 'week', 'weekli', 'geol', 'principl stratigraphi', 'biolog', 'supervis', 'interpret', 'interpretation', 'mechanisms', 'application', 'addit', 'plate tecton', 'role', 'focu', 'integr', 'event past effect planet develop', 'ecosystem', 'activ', 'deform', 'variou', 'laboratori', 'laboratory', 'fault', 'instructor', 'geog', 'observ', 'econom import', 'commun', 'weather', 'credit', 'conserv', 'social', 'techniqu', 'techniques', 'inform', 'solutions', 'plant', 'day', 'govern', 'government', 'overview', 'scientif', 'lectur gener', 'igneou', 'case', 'histori', 'planets', 'ace', 'complet', 'context', 'class practic', 'dynam', 'profession', 'profess', 'career', 'thesi', 'fundamentals', 'solut chemistri', 'air', 'intern forc mechan', 'settings applic', 'aspect', 'popul', 'member', 'theory', 'theori', 'campu', 'supervisor', 'focus', 'visit area', 'stand', 'region', 'futur', 'flow', 'gain', 'plan', 'ese', 'remot', 'direct', 'directli', 'continent', 'contin', 'engin', 'scale', 'graduat', 'conduct', 'non', 'fold', 'folds', 'fossil', 'fossils', 'section', 'sections', 'hazard', 'hazards', 'quantit', 'altern', 'classif', 'core', 'earthquak', 'solar', 'investig', 'world', 'evalu', 'marin', 'magmat', 'disciplinari', 'composit', 'composition', 'test', 'key', 'avail', 'site', 'isotop', 'characteristics', 'advanc', 'consent', 'report', 'restoration', 'restor', 'specif', 'approach', 'critic', 'element', 'geophys characterist', 'land', 'hands', 'hand', 'graviti', 'compon', 'subject', 'cause relationship', 'break', 'stratigraph', 'opportun', 'stratigraphy', 'essenti', 'individu', 'chem', 'nutrient', 'stress', 'independ group', 'cover', 'form', 'polici', 'ib', 'control', 'offer', 'geochemistri', 'transport', 'implic', 'societi', 'respons', 'china', 'consumpt', 'mantl', 'volcan', 'faculti', 'green', 'particular', 'zones', 'zone', 'univers', 'set', 'contamin', 'improv', 'address', 'complex', 'aim', 'make', 'special', 'variat', 'interdisciplinari', 'x', 'organ']"
7,Mathematics,"['theorems', 'mathematics', 'applic', 'applications', 'theori', 'theory', 'equations', 'equation', 'functions', 'function', 'functionals', 'method', 'methods', 'integration', 'integr', 'linear algebra', 'space', 'cours cover', 'algebraic', 'math', 'differentiation', 'differentiability mean valu theorem', 'studi', 'emphas student', 'includ', 'n problem', 'integrals area', 'aim introduc import topic mathemat', 'ordinari differenti equat partial', 'basic numer', 'calculu', 'vector', 'techniqu', 'prerequisit', 'number', 'probabilities', 'probabl', 'engin field', 'set', 'sets', 'analysi', 'elementari', 'matrix', 'fundament', 'solut', 'variables', 'instructor', 'variabl introduct', 'series', 'geometri', 'operations', 'oper', 'operator', 'operators', 'comput scienc', 'use', 'model', 'numbers sequenc seri', 'fields surfac', 'program', 'programming', 'concept', 'deriv', 'derivatives', 'algorithm', 'matric', 'research', 'undergradu', 'geometr', 'polynomi', 'continu', 'continuity', 'learn', 'principl', 'graph', 'properti converg', 'work', 'sequences exampl group', 'gener', 'develop', 'subject', 'optimization', 'optim', 'project', 'projection', 'appli', 'real', 'eigenvalu', 'polar form', 'credit', 'network', 'option', 'determin', 'determinants', 'value', 'transform', 'measur', 'rigor', 'knowledg', 'solv', 'point', 'product', 'requir', 'limit', 'addit', 'depart', 'proofs relat', 'equival', 'connect', 'connected', 'background provid', 'approv', 'distribut', 'finit', 'definit', 'invers', 'experi', 'rule', 'cs', 'prepar', 'norm', 'multipl', 'select', 'emphasi', 'analyt', 'represent', 'treatment', 'practic', 'higher order', 'orthogon', 'orthogonal', 'complex', 'variat', 'differ', 'process', 'subspac', 'subspaces', 'topolog', 'graduat', 'graduate', 'ration', 'level', 'bound', 'bounded', 'foundat variou', 'ring', 'supervisor', 'jordan', 'complet', 'discret', 'riemann', 'tree', 'data', 'hour', 'euclidean', 'mani', 'basi', 'expect', 'cauchy', 'cauchi', 'exponenti', 'structur', 'proof', 'map', 'condit', 'consent', 'binomi', 'factor', 'powers', 'power', 'depend independ', 'curv', 'axiom', 'varianc', 'combinatori', 'fractions', 'fraction', 'price', 'direct', 'l', 'modul', 'dimens', 'approxim', 'approximation', 'intend', 'high', 'highli', 'maximum', 'inner', 'error', 'concret', 'univers', 'essenti', 'normal', 'gradients', 'gradient', 'stat', 'advanc', 'statist', 'statistics', 'open', 'present', 'laplac', 'random', 'vari']"
8,Physics,"['cours', 'basic physic', 'theori', 'topic includ', 'equat', 'wave', 'quantum', 'phi', 'experi', 'experiment', 'techniqu', 'particl', 'energi', 'astronomi', 'studi', 'design student', 'introduct', 'properti', 'cover work principl mechan', 'advanc', 'advanced', 'electromagnet', 'relat field', 'daili applic', 'prerequisit', 'astrophys', 'simpl', 'numer method', 'comput skill commonli use', 'problem solv', 'mathemat', 'thermodynam', 'analysi', 'effect', 'scienc', 'electr', 'develop optic', 'discuss', 'integr', 'learn', 'function', 'motion', 'radiat', 'structur atom', 'program', 'light', 'law', 'process', 'concept space time', 'oscil', 'differenti', 'observ', 'undergradu', 'spectroscopi', 'phenomena', 'vector', 'statist', 'understand', 'electron', 'fundament', 'second level', 'elect', 'contemporari astronom research', 'stellar', 'model', 'weather', 'interact', 'approach', 'magnet', 'potenti', 'project', 'credit', 'major', 'oper activ', 'dynam', 'data', 'approv', 'univers', 'materi', 'rel', 'inform', 'information', 'linear', 'gener', 'math', 'transport introduc exampl modern technolog', 'nuclear', 'matter', 'classic', 'small', 'solut', 'equilibrium state', 'review', 'life', 'special', 'transform', 'tool', 'scientif', 'focu', 'emphasi', 'continu', 'complet', 'conserv', 'phys', 'interfer', 'gravit', 'year', 'knowledg', 'introductori', 'current', 'theoret', 'hydrogen', 'lab', 'train', 'symmetri', 'practic', 'laser', 'semiconductor', 'packag', 'natur', 'variou', 'approxim', 'common', 'climat', 'ga', 'calculus', 'calculu', 'cosmolog', 'hour', 'term', 'rotat', 'background', 'phase', 'coordin', 'coordinate', 'object', 'interpret', 'complex', 'minor', 'distribut', 'line', 'depart', 'department', 'critic', 'free', 'kinemat', 'machin', 'fluid', 'write', 'subject', 'expect', 'analyt', 'supervis', 'offer', 'scale', 'diffract', 'requir', 'galaxi', 'change', 'chang', 'expans', 'measur', 'area', 'solar', 'variabl', 'media', 'graduat', 'depend', 'group', 'tensor', 'lagrangian', 'gase', 'valu']"
9,Faculty,"['student', 'students', 'science', 'sciences', 'cours', 'research', 'scienc technolog', 'differ', 'develop practic', 'busi', 'work style', 'disciplin', 'supervisor', 'scientif idea', 'univers', 'products', 'data', 'use knowledg', 'technology', 'physic', 'commun', 'environment', 'environ', 'import entrepreneuri skill provid', 'topic includ', 'learn', 'statistics', 'conduct', 'commerci product', 'world', 'supervis', 'analysi market custom', 'project', 'principl', 'mathemat', 'mathematics', 'studi', 'biolog', 'approach', 'chemic', 'experi', 'requir', 'introduc', 'methods statist', 'member', 'need', 'relat entrepreneurship prior', 'leadership', 'ideas', 'concept', 'discuss', 'opportun', 'compani', 'prepar', 'written', 'evalu', 'essenti', 'faculti', 'faculty', 'collabor', 'earth', 'gener', 'natur', 'identifi potenti', 'introduction', 'introduct', 'challeng', 'enhanc', 'translat', 'equations linear', 'method', 'integr', 'quantit', 'appli', 'intern', 'process', 'life', 'professor', 'plan']"
